protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,74.162.65.56,1080,United Arab Emirates,AE,Dubai,elite,true,97.42,AS8075,Microsoft Corporation,5011.64,1784038489.3272998
socks4,47.91.120.190,8888,United Arab Emirates,AE,Dubai,elite,true,1.19,AS45102,Alibaba Cloud LLC,6314.73,1784038482.610572
socks4,47.91.120.190,3129,United Arab Emirates,AE,Dubai,elite,true,1.19,AS45102,Alibaba Cloud LLC,6306.92,1784038482.0688052
socks4,47.91.120.190,8081,United Arab Emirates,AE,Dubai,elite,true,1.04,AS45102,Alibaba Cloud LLC,10421.47,1784038479.563791
http,47.91.120.190,8081,United Arab Emirates,AE,Dubai,elite,false,1.04,AS45102,Alibaba Cloud LLC,2249.7,1784038438.4934812
http,47.91.104.88,3128,United Arab Emirates,AE,Dubai,elite,true,79.99,AS45102,Alibaba Cloud LLC,7164.7,1784038430.0548434
socks5,47.91.110.148,10243,United Arab Emirates,AE,Dubai,elite,true,1.19,AS45102,Alibaba Cloud LLC,6285.85,1784038420.7325854
socks5,47.91.110.148,1266,United Arab Emirates,AE,Dubai,elite,true,1.15,AS45102,Alibaba Cloud LLC,6408.96,1784038420.637593
http,47.91.110.148,8008,United Arab Emirates,AE,Dubai,elite,false,1.06,AS45102,Alibaba Cloud LLC,9349.64,1784038389.2001228
socks5,74.162.65.56,1080,United Arab Emirates,AE,Dubai,elite,true,97.38,AS8075,Microsoft Corporation,5238.4,1784038270.7017424
