protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.91.110.148,80,United Arab Emirates,AE,Dubai,elite,true,1.03,AS45102,Alibaba Cloud LLC,6277.84,1790457575.708234
socks5,47.91.120.190,1025,United Arab Emirates,AE,Dubai,elite,true,1.13,AS45102,Alibaba Cloud LLC,7401.1,1790457575.0441298
socks5,47.91.120.190,2021,United Arab Emirates,AE,Dubai,elite,true,1.14,AS45102,Alibaba Cloud LLC,10386.65,1790457572.0635216
socks5,47.91.110.148,8081,United Arab Emirates,AE,Dubai,elite,true,0.97,AS45102,Alibaba Cloud LLC,7532.38,1790457571.0802484
socks5,47.91.120.190,9200,United Arab Emirates,AE,Dubai,elite,true,1.12,AS45102,Alibaba Cloud LLC,11676.64,1790457570.7838016
socks5,47.91.120.190,3128,United Arab Emirates,AE,Dubai,elite,true,1.09,AS45102,Alibaba Cloud LLC,12994.11,1790457569.5016453
socks5,47.91.110.148,3129,United Arab Emirates,AE,Dubai,elite,true,0.96,AS45102,Alibaba Cloud LLC,9092.35,1790457569.491988
socks5,47.91.110.148,9999,United Arab Emirates,AE,Dubai,elite,true,0.97,AS45102,Alibaba Cloud LLC,11594.07,1790457566.9634364
socks5,47.91.120.190,1081,United Arab Emirates,AE,Dubai,elite,true,0.96,AS45102,Alibaba Cloud LLC,16061.99,1790457566.3708935
socks5,47.91.121.127,9080,United Arab Emirates,AE,Dubai,elite,true,1.05,AS45102,Alibaba Cloud LLC,6297.47,1790457564.5403912
socks5,47.91.121.127,8888,United Arab Emirates,AE,Dubai,elite,true,1.04,AS45102,Alibaba Cloud LLC,6678.97,1790457563.807568
socks5,47.91.121.127,1111,United Arab Emirates,AE,Dubai,elite,true,1.01,AS45102,Alibaba Cloud LLC,6260.75,1790457562.4021962
socks5,47.91.121.127,9098,United Arab Emirates,AE,Dubai,elite,true,1.0,AS45102,Alibaba Cloud LLC,8730.65,1790457559.3512208
socks5,91.73.223.206,1080,United Arab Emirates,AE,Dubai,elite,true,84.25,AS15802,Emirates Integrated Telecommunications Company PJSC,24726.42,1790457424.4081662
socks5,47.91.115.179,4002,United Arab Emirates,AE,Dubai,elite,true,1.05,AS45102,Alibaba Cloud LLC,9125.82,1790457374.4568462
