protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,73.31,AS215540,Global Connectivity Solutions LLP,1095.2,1784394555.086124
socks4,78.159.131.112,1082,Albania,AL,Elbasan,elite,true,75.15,AS215540,Global Connectivity Solutions LLP,2129.5,1784394548.569706
socks4,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,80.77,AS215540,Global Connectivity Solutions LLP,79.04,1784394546.9149876
socks4,78.159.131.112,1081,Albania,AL,Elbasan,elite,true,79.67,AS215540,Global Connectivity Solutions LLP,66.25,1784394534.2692654
socks4,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,76.7,AS215540,Global Connectivity Solutions LLP,4181.56,1784394530.4992187
socks4,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,77.73,AS215540,Global Connectivity Solutions LLP,3144.28,1784394528.5851169
socks5,78.159.131.112,1081,Albania,AL,Elbasan,elite,true,75.56,AS215540,Global Connectivity Solutions LLP,14358.01,1784394527.3090875
http,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,72.11,AS215540,Global Connectivity Solutions LLP,9121.73,1784394523.4815702
socks5,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,71.21,AS215540,Global Connectivity Solutions LLP,14597.38,1784394522.0954106
http,78.159.131.139,1081,Albania,AL,Elbasan,elite,false,74.14,AS215540,Global Connectivity Solutions LLP,76.16,1784394514.3912168
socks5,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,73.47,AS215540,Global Connectivity Solutions LLP,108.63,1784394507.5721793
http,217.24.245.58,8079,Albania,AL,Tirana,transparent,false,7.62,AS42313,ONE ALBANIA SH.A.,3878.16,1784394487.417038
http,78.159.131.131,1081,Albania,AL,Elbasan,elite,false,77.4,AS215540,Global Connectivity Solutions LLP,4206.13,1784394485.0163574
http,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,67.2,AS215540,Global Connectivity Solutions LLP,4153.22,1784394476.4478555
http,147.45.221.112,1082,Albania,AL,Labinot-Fushë,elite,true,89.77,AS215540,Global Connectivity Solutions LLP,53.39,1784394458.3165424
socks5,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,67.19,AS215540,Global Connectivity Solutions LLP,7326.45,1784394443.3819156
http,84.22.48.28,8080,Albania,AL,Tirana,transparent,false,9.29,AS33983,Artmotion Sh.P.K.,5303.48,1784394431.7367315
socks4,147.45.221.111,1082,Albania,AL,Labinot-Fushë,elite,true,96.88,AS215540,Global Connectivity Solutions LLP,71.67,1784394598.607708
socks5,147.45.221.115,1082,Albania,AL,Elbasan,elite,true,81.07,AS215540,Global Connectivity Solutions LLP,5229.33,1784394593.3974843
socks4,147.45.221.112,1082,Albania,AL,Labinot-Fushë,elite,true,92.43,AS215540,Global Connectivity Solutions LLP,2096.52,1784394590.8967738
socks5,147.45.221.112,1082,Albania,AL,Labinot-Fushë,elite,true,92.83,AS215540,Global Connectivity Solutions LLP,11253.45,1784394587.4892254
socks4,147.45.221.115,1082,Albania,AL,Elbasan,elite,true,83.58,AS215540,Global Connectivity Solutions LLP,1086.75,1784394574.6817431
http,147.45.221.115,1082,Albania,AL,Elbasan,elite,false,80.47,AS215540,Global Connectivity Solutions LLP,9287.94,1784394571.667958
socks5,147.45.221.111,1082,Albania,AL,Labinot-Fushë,elite,true,100.0,AS215540,Global Connectivity Solutions LLP,80.27,1784394514.2441394
http,147.45.221.115,1081,Albania,AL,Elbasan,elite,true,80.51,AS215540,Global Connectivity Solutions LLP,11127.05,1784394509.3523464
http,147.45.221.111,1082,Albania,AL,Labinot-Fushë,elite,true,96.0,AS215540,Global Connectivity Solutions LLP,152.58,1784394501.578924
socks5,147.45.221.115,1081,Albania,AL,Elbasan,elite,true,81.16,AS215540,Global Connectivity Solutions LLP,2237.73,1784394437.3585503
