protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,77.242.21.133,8080,Albania,AL,Tirana,transparent,true,9.22,AS35047,Business Custommers,204.17,1784322584.9907942
http,188.164.218.209,8080,Albania,AL,Tirana,transparent,true,28.16,AS21183,Vodafone Albania Sh.A.,1471.25,1784322575.840572
http,78.159.131.139,1081,Albania,AL,Elbasan,elite,false,74.87,AS215540,Global Connectivity Solutions LLP,3603.85,1784322574.4388344
http,37.26.86.206,47464,Albania,AL,Elbasan,elite,false,10.35,AS198279,ATU,6510.51,1784322563.4757867
http,78.159.131.139,1082,Albania,AL,Elbasan,elite,false,67.81,AS215540,Global Connectivity Solutions LLP,4470.3,1784322560.559894
http,78.159.131.112,1081,Albania,AL,Elbasan,elite,false,75.63,AS215540,Global Connectivity Solutions LLP,6168.19,1784322549.3886802
http,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,78.05,AS215540,Global Connectivity Solutions LLP,1115.64,1784322520.553258
http,78.159.131.112,1082,Albania,AL,Elbasan,elite,false,67.94,AS215540,Global Connectivity Solutions LLP,5220.09,1784322468.3571112
http,78.159.131.131,1082,Albania,AL,Elbasan,elite,false,72.93,AS215540,Global Connectivity Solutions LLP,3133.5,1784322378.9484422
http,147.45.221.115,1081,Albania,AL,Elbasan,elite,true,82.04,AS215540,Global Connectivity Solutions LLP,6240.92,1784322471.3140185
http,147.45.221.115,1082,Albania,AL,Elbasan,elite,false,81.82,AS215540,Global Connectivity Solutions LLP,7153.17,1784322442.7099545
