protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,217.24.245.58,8079,Albania,AL,Tirana,transparent,true,7.58,AS42313,ONE ALBANIA SH.A.,2687.86,1784173711.3864746
http,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,79.5,AS215540,Global Connectivity Solutions LLP,1123.53,1784173707.6991205
http,78.159.131.112,1082,Albania,AL,Elbasan,elite,true,66.67,AS215540,Global Connectivity Solutions LLP,4174.9,1784173702.6627235
http,78.159.131.139,1082,Albania,AL,Elbasan,elite,true,67.75,AS215540,Global Connectivity Solutions LLP,2139.44,1784173668.5545726
http,78.159.131.139,1081,Albania,AL,Elbasan,elite,true,76.46,AS215540,Global Connectivity Solutions LLP,5404.85,1784173657.94864
http,78.159.131.112,1081,Albania,AL,Elbasan,elite,true,76.46,AS215540,Global Connectivity Solutions LLP,3172.89,1784173641.8338234
http,78.159.131.131,1082,Albania,AL,Elbasan,elite,true,73.71,AS215540,Global Connectivity Solutions LLP,14500.39,1784173640.177271
http,185.196.182.22,8080,Albania,AL,Krume,transparent,true,23.55,AS206088,shqiponjaisp.al LLC,1212.8,1784173786.0867987
http,147.45.221.115,1081,Albania,AL,Elbasan,elite,true,87.64,AS215540,Global Connectivity Solutions LLP,53.73,1784173761.799452
http,147.45.221.115,1082,Albania,AL,Elbasan,elite,true,87.65,AS215540,Global Connectivity Solutions LLP,2117.28,1784173643.6798522
