protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,78.159.131.131,1081,Albania,AL,Elbasan,elite,true,79.98,AS215540,Global Connectivity Solutions LLP,11251.42,1784497175.270535
socks4,147.45.221.115,1082,Albania,AL,Elbasan,elite,true,81.08,AS215540,Global Connectivity Solutions LLP,77.25,1784497171.949648
socks4,78.159.131.139,1082,Albania,AL,Labinot-Fushë,elite,true,73.55,AS215540,Global Connectivity Solutions LLP,2132.62,1784497170.5546007
socks4,78.159.131.131,1082,Albania,AL,Labinot-Fushë,elite,true,76.09,AS215540,Global Connectivity Solutions LLP,2167.16,1784497166.456103
socks4,78.159.131.112,1082,Albania,AL,Labinot-Fushë,elite,true,74.57,AS215540,Global Connectivity Solutions LLP,162.01,1784497164.8874018
socks4,147.45.221.115,1081,Albania,AL,Elbasan,elite,true,81.28,AS215540,Global Connectivity Solutions LLP,1100.53,1784497199.9084663
socks4,147.45.221.111,1082,Albania,AL,Labinot-Fushë,elite,true,81.83,AS215540,Global Connectivity Solutions LLP,12317.41,1784497191.6323302
socks4,147.45.221.112,1081,Albania,AL,Labinot-Fushë,elite,true,80.17,AS215540,Global Connectivity Solutions LLP,67.46,1784497184.3135169
socks4,147.45.221.111,1081,Albania,AL,Labinot-Fushë,elite,true,81.28,AS215540,Global Connectivity Solutions LLP,4147.73,1784497183.6591926
socks4,147.45.221.112,1082,Albania,AL,Labinot-Fushë,elite,true,84.6,AS215540,Global Connectivity Solutions LLP,8275.5,1784497158.3975139
