protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,200.43.231.17,4145,Argentina,AR,Oberá,elite,true,22.26,AS7303,Telecom Argentina S.A.,1214.85,1780049378.8656301
socks4,190.122.88.121,1080,Argentina,AR,Buenos Aires,elite,true,25.44,AS27988,Servicios y Telecomunicaciones S.A,1064.46,1780049378.757724
socks4,190.228.33.42,1085,Argentina,AR,San Salvador de Jujuy,elite,true,25.55,AS7303,Telecom Argentina S.A.,1235.77,1780049368.749326
socks4,181.15.154.154,52033,Argentina,AR,Posadas,elite,true,7.3,AS7303,Telecom Argentina S.A,1257.28,1780049361.662681
http,181.209.110.27,999,Argentina,AR,Quimilí,transparent,false,9.65,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,11927.96,1780049357.4774306
http,181.13.221.155,999,Argentina,AR,Sachayoj,transparent,true,15.08,AS7303,Telecom Argentina S.A.,947.61,1780049356.7720404
http,181.209.91.238,6969,Argentina,AR,Salliqueló,transparent,true,15.92,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,5551.48,1780049352.3521526
http,181.209.108.226,999,Argentina,AR,El Hoyo,transparent,true,10.9,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,6786.8,1780049351.5439546
http,181.209.125.234,999,Argentina,AR,Yuto,transparent,false,5.97,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,7913.05,1780049345.5145912
http,181.209.59.182,999,Argentina,AR,Benavídez,transparent,true,8.91,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,8343.17,1780049344.4091098
http,181.209.78.75,999,Argentina,AR,General Mosconi,transparent,false,3.83,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,9623.5,1780049306.3716304
http,45.178.68.251,999,Argentina,AR,Ingeniero Jacobacci,transparent,false,5.71,AS264758,ISP GROUP SRL,8831.97,1780049277.335931
http,45.232.152.2,8080,Argentina,AR,Pampa del Infierno,transparent,false,15.81,AS266761,Vicente Claudio Orlando,5904.76,1780049260.3838997
http,190.210.62.131,8080,Argentina,AR,Buenos Aires,elite,false,13.73,AS16814,NSS S.A.,3531.04,1780049184.7267792
http,190.103.16.78,999,Argentina,AR,Tapalqué,transparent,false,15.36,AS28318,CYBERTAP,1742.37,1780049176.3359263
http,45.65.227.97,999,Argentina,AR,Morón,transparent,false,6.99,AS266725,Solution LAN S.A,1899.3,1780049130.2681682
socks4,200.0.247.243,5678,Argentina,AR,Rincón de Los Sauces,elite,true,4.62,AS10834,Telefonica de Argentina,4270.96,1780049382.801239
http,198.12.37.6,8080,Argentina,AR,Resistencia,transparent,true,8.56,AS27988,Servicios y Telecomunicaciones S.A,2694.42,1780049354.3031547
http,201.190.178.191,8080,Argentina,AR,Mendoza,transparent,true,35.53,AS28075,Arlink S.A.,16189.5,1780049320.74405
