protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.209.118.252,999,Argentina,AR,General Guemes,transparent,false,7.79,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,6123.27,1784551750.9525895
http,181.168.144.56,8080,Argentina,AR,Punta Alta,elite,true,38.15,AS7303,Telecom Argentina S.A,10599.41,1784551738.615894
http,181.209.122.114,999,Argentina,AR,Benavídez,transparent,false,7.09,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,7662.3,1784551713.425869
http,45.65.225.17,999,Argentina,AR,Caseros,transparent,false,21.79,AS266725,Solution LAN S.A,17600.47,1784551711.481558
http,181.209.125.237,999,Argentina,AR,Yuto,transparent,false,13.68,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,5930.76,1784551697.3382235
http,201.190.178.191,8080,Argentina,AR,Mendoza,transparent,false,34.49,AS28075,Arlink S.A.,12410.41,1784551684.2620435
http,190.225.182.4,999,Argentina,AR,Buenos Aires,transparent,false,17.73,AS7303,Telecom Argentina S.A.,5624.31,1784551675.362891
http,190.225.182.3,999,Argentina,AR,Buenos Aires,transparent,false,17.64,AS7303,Telecom Argentina S.A.,2820.45,1784551675.2799711
http,131.221.65.109,8090,Argentina,AR,San Miguel de Tucumán,transparent,false,29.33,AS265798,Level Seven SRL,4106.35,1784551672.097191
http,45.232.152.2,8080,Argentina,AR,Las Brenas,transparent,true,20.52,AS266761,Vicente Claudio Orlando,10104.22,1784551664.493504
http,181.209.118.250,999,Argentina,AR,General Guemes,transparent,false,7.87,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,3650.03,1784551654.2874827
http,186.123.26.22,8080,Argentina,AR,Buenos Aires,transparent,false,24.96,AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,7489.82,1784551626.1457431
http,181.209.124.10,999,Argentina,AR,Benavídez,transparent,false,5.74,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,10732.75,1784551531.9321408
http,45.172.142.34,999,Argentina,AR,Junin,transparent,false,18.7,AS264800,Techtron Argentina S.A.,3398.78,1784551786.2962828
