protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.111.218.139,999,Argentina,AR,San Juan Bautista,transparent,true,10.22,AS11014,CPS,10650.55,1780021782.0958922
http,186.123.26.22,8080,Argentina,AR,Ciudad del Libertador General San Martín,transparent,true,33.63,AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,3721.78,1780021778.7575624
http,181.209.108.218,999,Argentina,AR,Campo Gallo,transparent,true,9.7,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,3273.36,1780021714.6661427
http,181.209.118.252,999,Argentina,AR,General Güemes,transparent,true,6.88,AS52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A,8574.79,1780021661.145016
http,200.59.193.93,999,Argentina,AR,Las Flores,transparent,true,79.94,,Silica Networks Argentina S.A,4472.14,1780021638.2141054
http,200.59.193.92,999,Argentina,AR,Las Flores,transparent,true,79.53,,Silica Networks Argentina S.A,2675.31,1780021795.2454338
http,198.12.37.6,8080,Argentina,AR,Resistencia,transparent,true,8.53,AS27988,Servicios y Telecomunicaciones S.A,2650.45,1780021783.947865
http,200.59.193.90,999,Argentina,AR,Las Flores,transparent,true,81.61,,Silica Networks Argentina S.A,10234.06,1780021780.6201768
http,200.59.193.18,999,Argentina,AR,Las Flores,transparent,true,93.36,,Silica Networks Argentina S.A,7171.57,1780021780.5067523
http,200.59.193.74,999,Argentina,AR,Las Flores,transparent,true,85.91,,Silica Networks Argentina S.A,2192.25,1780021769.240829
http,200.59.193.91,999,Argentina,AR,Las Flores,transparent,true,79.84,,Silica Networks Argentina S.A,4801.53,1780021730.5686846
http,200.59.193.94,999,Argentina,AR,Las Flores,transparent,true,81.69,,Silica Networks Argentina S.A,4410.27,1780021714.581504
http,200.59.193.82,999,Argentina,AR,Las Flores,transparent,true,90.73,,Silica Networks Argentina S.A,2668.82,1780021713.3529193
http,200.59.193.114,999,Argentina,AR,Las Flores,transparent,true,93.65,,Silica Networks Argentina S.A,9736.87,1780021681.537212
