protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.18.170.230,5678,Argentina,AR,Córdoba,elite,true,54.66,AS7303,Telecom Argentina S.A,1220.94,1785271492.2695613
socks4,190.182.137.250,1085,Argentina,AR,Miguel Riglos,elite,true,48.51,AS27983,Red Intercable Digital S.A,1297.84,1785271485.678574
socks4,186.138.177.33,4145,Argentina,AR,Córdoba,elite,true,45.95,AS7303,Telecom Argentina S.A,1239.5,1785271485.345395
socks4,190.228.33.42,1085,Argentina,AR,San Salvador de Jujuy,elite,true,28.67,AS7303,Telecom Argentina S.A.,1232.98,1785271484.511463
socks4,181.15.154.156,52033,Argentina,AR,Posadas,elite,true,12.78,AS7303,Telecom Argentina S.A,2252.83,1785271478.9668496
socks4,200.16.211.70,4153,Argentina,AR,Jose C. Paz,elite,true,45.65,AS10834,Telefonica de Argentina,8306.06,1785271471.272427
socks4,181.15.154.154,52033,Argentina,AR,Posadas,elite,true,12.46,AS7303,Telecom Argentina S.A,2245.8,1785271467.3973079
socks4,200.43.43.126,4145,Argentina,AR,Resistencia,elite,true,14.65,AS7303,Telecom Argentina S.A.,1348.06,1785271501.9772913
socks4,200.63.95.17,1085,Argentina,AR,Villa Paula de Sarmiento,elite,true,17.08,AS272046,CATALA SERGIO TADEO (PUYUTA INTERNET & TECNOLOGIA),1267.57,1785271494.9256425
socks4,200.16.211.74,4153,Argentina,AR,Jose C. Paz,elite,true,42.53,AS10834,Telefonica de Argentina,2134.96,1785271491.8448315
socks4,200.70.56.84,1080,Argentina,AR,Buenos Aires,elite,true,54.92,AS10834,Telefonica de Argentina,4165.55,1785271485.7845097
