protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,77.110.110.95,9050,Austria,AT,Vienna,elite,true,6.81,AS210644,Aeza International LTD,2573.72,1780139047.3578212
socks4,193.233.129.235,1080,Austria,AT,Vienna,elite,true,82.77,AS210644,OOO FREEnet Group,14432.98,1780139042.4356742
socks4,83.215.25.66,9050,Austria,AT,Zell am See,elite,true,31.01,AS8445,SALZBURG-AG,16265.62,1780139025.338144
http,81.10.234.234,80,Austria,AT,Unterweitersdorf,elite,false,68.54,AS12605,LIWEST Kabelmedien GmbH,2941.17,1780139022.4979453
http,193.233.128.134,3128,Austria,AT,Vienna,transparent,true,47.07,AS210644,OOO FREEnet Group,20420.15,1780139019.619139
socks5,193.233.129.235,1080,Austria,AT,Vienna,elite,true,76.91,AS210644,OOO FREEnet Group,14870.76,1780139005.4466465
http,193.233.128.128,3128,Austria,AT,Vienna,transparent,false,45.47,AS210644,OOO FREEnet Group,13744.84,1780139003.9054232
http,178.115.230.100,8080,Austria,AT,Salzburg,transparent,false,6.52,AS25255,customers with static IP,6576.09,1780138961.8029017
socks5,83.215.25.66,9050,Austria,AT,Zell am See,elite,true,17.81,AS8445,SALZBURG-AG,22894.57,1780138857.256437
socks5,212.113.106.198,987,Austria,AT,Vienna,elite,true,22.96,AS210644,xorek.cloud International LTD,7497.35,1780138747.3788955
