protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,192.9.171.168,1080,Australia,AU,Sydney,elite,true,95.96,AS31898,Oracle Corporation,1732.97,1786327182.6600392
socks4,192.9.171.168,1080,Australia,AU,Sydney,elite,true,95.18,AS31898,Oracle Corporation,1511.08,1786327181.2425768
socks4,152.69.167.87,1080,Australia,AU,Sydney,elite,true,97.25,AS31898,Oracle Corporation,1427.64,1786327178.391984
socks5,152.69.167.87,1080,Australia,AU,Sydney,elite,true,96.85,AS31898,Oracle Corporation,1718.81,1786327174.5264044
socks5,103.248.47.230,1080,Australia,AU,Sydney,elite,true,37.14,AS133417,Dicker Data Ltd,2850.01,1786327161.8146107
socks5,168.138.9.147,1080,Australia,AU,Melbourne,elite,true,35.32,AS31898,Oracle Corporation,19197.59,1786327149.426108
http,114.111.151.41,80,Australia,AU,Melbourne,elite,false,57.79,AS45577,Intervolve Pty Ltd,6554.81,1786327139.867963
http,46.250.241.229,3128,Australia,AU,Sydney,transparent,false,37.36,AS141995,Contabo Asia Private Limited,14569.98,1786327135.922467
http,4.237.109.140,3128,Australia,AU,The Rocks,anonymous,true,30.36,AS8075,Microsoft Corporation,9512.93,1786327115.6408005
http,45.63.26.240,80,Australia,AU,Sydney,anonymous,false,23.06,AS20473,Choopa,11610.97,1786327101.3011484
