protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,46.250.241.229,3128,Australia,AU,Sydney,transparent,true,39.62,AS141995,Contabo Asia Private Limited,8075.35,1784158436.1003003
http,51.161.137.166,8080,Australia,AU,North Sydney,elite,true,35.17,AS16276,OVH SAS,14128.61,1784158431.0112607
http,61.29.96.146,8000,Australia,AU,Albury,anonymous,false,9.73,AS2764,AAPT Limited,7999.18,1784158430.1524024
http,103.131.232.9,8080,Australia,AU,Goulburn,transparent,false,23.48,AS45447,YLess4U Pty Ltd,4409.94,1784158429.6074247
http,51.161.142.97,8080,Australia,AU,North Sydney,elite,true,34.74,AS16276,OVH SAS,8738.0,1784158396.5318592
http,180.181.215.232,3128,Australia,AU,Brisbane,transparent,true,34.01,AS4764,Wideband Networks Pty Ltd,8735.87,1784158385.8778536
http,45.38.149.26,8080,Australia,AU,Sydney,elite,true,87.25,AS209604,2E TELEKOMUNIKASYON LTD STI,1546.82,1784158359.418052
http,159.196.182.72,8080,Australia,AU,Melbourne,transparent,true,27.03,AS4764,Wideband Networks Pty Ltd,9997.18,1784158485.9749222
http,103.249.237.158,8888,Australia,AU,Sydney,transparent,true,30.84,AS133159,Mammoth Media Pty Ltd,1440.96,1784158483.582079
http,103.18.205.162,8080,Australia,AU,Melbourne,transparent,false,32.1,AS134371,Circle Network,2910.97,1784158459.9583504
http,159.196.192.173,8080,Australia,AU,Melbourne,transparent,false,49.91,AS4764,Aussie Broadband,3428.66,1784158440.8638406
http,210.8.69.102,808,Australia,AU,Sydney,elite,true,91.14,AS7600,AAPT Limited,570.8,1784158463.3722823
