protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,61.29.96.146,8000,Australia,AU,Albury,anonymous,true,9.73,AS2764,AAPT Limited,3662.82,1784162390.3540108
http,46.250.241.190,8080,Australia,AU,Sydney,transparent,true,29.28,AS141995,Contabo Asia Private Limited,15112.2,1784162347.9811618
http,51.161.142.97,8080,Australia,AU,North Sydney,elite,true,34.82,AS16276,OVH SAS,9234.06,1784162347.9089625
http,45.38.149.26,8080,Australia,AU,Sydney,elite,true,85.57,AS209604,2E TELEKOMUNIKASYON LTD STI,521.81,1784162339.055742
http,46.250.241.229,3128,Australia,AU,Sydney,transparent,true,39.68,AS141995,Contabo Asia Private Limited,5128.55,1784162336.271436
http,61.29.96.146,80,Australia,AU,Albury,anonymous,true,8.86,AS2764,AAPT Limited,4118.75,1784162271.6762402
http,51.161.137.166,8080,Australia,AU,North Sydney,elite,true,35.21,AS16276,OVH SAS,10596.28,1784162231.5326982
http,103.249.237.158,8888,Australia,AU,Sydney,transparent,true,30.96,AS133159,Mammoth Media Pty Ltd,3022.78,1784162362.3190274
http,180.181.215.232,3128,Australia,AU,Brisbane,transparent,true,34.05,AS4764,Wideband Networks Pty Ltd,3338.31,1784162330.708015
http,159.196.182.72,8080,Australia,AU,Melbourne,transparent,true,27.07,AS4764,Wideband Networks Pty Ltd,2079.2,1784162175.2649376
http,210.8.69.102,808,Australia,AU,Sydney,elite,true,91.17,AS7600,AAPT Limited,538.09,1784162323.4372048
