protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,27.147.143.102,3128,Bangladesh,BD,Dhaka,transparent,false,36.17,AS23688,Link3 Technologies Limited,1479.79,1787918086.892888
http,27.147.175.71,3128,Bangladesh,BD,Dhaka,transparent,true,62.16,AS23688,Link3 Technologies Limited,1179.57,1787918086.608781
http,27.147.181.34,3128,Bangladesh,BD,Dhaka,transparent,false,50.9,AS23688,Link3 Technologies Limited,544.93,1787918086.4544265
http,103.106.241.74,8080,Bangladesh,BD,Gazipur,transparent,false,24.15,AS137385,Md. Saddam Hossain,573.72,1787918080.3775036
http,103.145.132.184,8080,Bangladesh,BD,Sonargaon,transparent,false,15.44,AS139809,Md Raisul Islam,7382.42,1787918080.028719
http,113.11.37.81,2505,Bangladesh,BD,Dhaka,transparent,false,15.78,AS7565,BDCOM Online Limited,10793.1,1787918073.1409125
http,27.147.153.179,3128,Bangladesh,BD,Tangail,transparent,true,49.8,AS23688,Link3 Technologies Limited,1568.52,1787918066.089734
http,202.84.39.103,8674,Bangladesh,BD,Dhaka,transparent,false,18.91,AS9230,Bangladesh Online Ltd.,439.18,1787918064.2767334
http,116.204.229.227,8070,Bangladesh,BD,Tongi,transparent,false,28.92,AS58689,ICC Communication Ltd,3285.24,1787918063.7470884
http,103.109.96.180,6321,Bangladesh,BD,Gazipur,elite,true,24.11,AS131464,Digi Jadoo Broadband Ltd,1485.51,1787918063.4585693
http,103.40.156.44,3128,Bangladesh,BD,Paltan,transparent,false,6.27,AS150434,A S M MAHBUB ULLAH,587.18,1787918062.856931
http,103.172.28.178,2727,Bangladesh,BD,Thakurgaon,transparent,false,26.79,AS146956,Hamid Electronics & Automobiles,494.08,1787918062.2088163
http,103.12.204.33,8080,Bangladesh,BD,Ishwardi,transparent,false,27.19,AS150327,RBD SOFTWARE & TECHNOLOGY LIMITED,11001.08,1787918060.1090236
http,103.106.119.217,8081,Bangladesh,BD,Nowlamary,transparent,false,11.76,AS63969,Earth-TEL,9091.59,1787918059.464761
http,103.191.99.108,1566,Bangladesh,BD,Tongi,elite,false,30.8,AS137532,Bhuiyan Telecom administrator,4607.0,1787918058.0168378
http,103.117.108.59,8080,Bangladesh,BD,Narayanganj,transparent,false,12.77,AS137935,I Link Internet Service (I.T),10025.77,1787918057.084311
http,103.251.232.32,8090,Bangladesh,BD,Dhaka,transparent,false,17.49,AS133034,Virtual American Companies (BD) Limited,5084.77,1787918055.855268
http,27.147.168.150,3128,Bangladesh,BD,Dhaka,transparent,false,49.46,AS23688,Link3 Technologies Limited,8934.85,1787918055.008306
http,27.147.132.42,3128,Bangladesh,BD,Dhaka,transparent,false,34.52,AS23688,Link3 Technologies Limited,18703.34,1787918043.0585992
http,118.179.93.216,81,Bangladesh,BD,Dhaka,transparent,false,27.19,AS23956,Amber IT Limited,22072.96,1787918017.9981854
http,27.147.181.35,3128,Bangladesh,BD,Dhaka,transparent,false,44.42,AS23688,Link3 Technologies Limited,1152.72,1787918003.216884
http,202.40.179.33,9090,Bangladesh,BD,Dhaka,transparent,false,11.13,AS23991,Ranks ITT,5660.47,1787918001.6479166
