protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,202.84.39.100,8674,Bangladesh,BD,Dhaka,transparent,true,18.16,AS9230,Bangladesh Online Ltd.,3037.97,1788831588.6999652
http,182.252.89.130,8080,Bangladesh,BD,Dhaka,transparent,true,21.31,AS23923,Agni Systems Limited,531.06,1788831582.9578474
http,103.112.131.14,8080,Bangladesh,BD,Dukuria,transparent,true,7.38,AS137542,Sayem Online Communication,565.78,1788831581.9689088
http,27.131.14.9,8812,Bangladesh,BD,Dhaka,elite,true,28.86,AS55492,Dhaka Fiber Net Limited,575.61,1788831581.540707
http,103.145.132.184,8080,Bangladesh,BD,Sonargaon,transparent,true,15.57,AS139809,Md Raisul Islam,482.54,1788831581.260692
http,103.138.145.130,8090,Bangladesh,BD,Bājitpur,transparent,true,13.59,AS139008,Neef IT Limited,594.68,1788831578.8705025
http,103.133.201.243,8080,Bangladesh,BD,Sylhet,transparent,true,22.26,AS132298,Antaranga Networks,3590.08,1788831578.5707276
http,203.95.220.114,1256,Bangladesh,BD,Dhaka,elite,true,24.93,AS63996,Mazeda Networks Limited,1612.75,1788831577.8485067
http,103.137.158.112,82,Bangladesh,BD,Sherpur,transparent,true,12.23,AS138385,Chittagong Data Communication,569.28,1788831576.5899198
http,115.127.181.114,6969,Bangladesh,BD,Dhaka,elite,true,18.67,AS24342,BRACNet Limited,3713.89,1788831575.5927432
http,103.60.173.173,8080,Bangladesh,BD,Dhaka,transparent,true,27.53,AS63996,Mazeda Networks Limited,9485.32,1788831574.5688393
http,115.127.105.163,6699,Bangladesh,BD,Dhaka,elite,true,13.6,AS24342,BRACNet Limited,7619.08,1788831573.4514706
http,103.172.28.178,2727,Bangladesh,BD,Thakurgaon,transparent,true,26.0,AS146956,Hamid Electronics & Automobiles,7722.3,1788831571.5847147
http,103.141.174.12,8080,Bangladesh,BD,Kesabpur,transparent,true,20.63,AS58689,ICC Communication Ltd,5313.6,1788831570.3100247
http,103.107.79.251,8080,Bangladesh,BD,Nabīnagar,transparent,true,8.97,AS137396,bbariaNet,3597.84,1788831565.4311879
http,103.229.85.221,8080,Bangladesh,BD,Dhaka,transparent,true,19.93,AS133443,Ashfakur Rahman Chowdhury,1809.87,1788831563.6541417
