protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,115.127.53.114,1080,Bangladesh,BD,Dhaka,elite,true,59.37,AS24342,BRACNet Limited,4259.67,1784711299.4874105
socks5,103.9.185.33,1080,Bangladesh,BD,Dhaka,elite,true,45.48,AS63967,Bangla Trac Communications Ltd.,2616.69,1784711296.8754535
socks5,103.138.144.202,1999,Bangladesh,BD,Kishorganj,elite,true,58.91,AS139008,NEEFIT,5459.97,1784711289.0628855
socks5,103.138.145.202,1999,Bangladesh,BD,Kishorganj,elite,true,29.91,AS139008,Neef IT Limited,2954.86,1784711273.9327068
socks5,103.189.218.76,6969,Bangladesh,BD,Paltan,elite,true,48.55,AS149868,Comfort Solutions,2388.99,1784711272.4927692
socks5,119.148.20.109,22122,Bangladesh,BD,Dhaka,elite,true,52.62,AS23923,Agni Systems Ltd. SUB,4677.62,1784711266.7151482
socks5,103.137.75.65,1081,Bangladesh,BD,Chittagong,elite,true,33.09,AS139282,Novus Network,4564.7,1784711256.0189307
socks5,202.40.190.74,1080,Bangladesh,BD,Dhaka,elite,true,57.23,AS23991,Ranks ITT,5000.41,1784711229.4942856
socks5,123.0.24.154,9090,Bangladesh,BD,Dhaka,elite,true,47.61,AS56054,Icon Infotech Limited,2032.62,1784711226.409338
socks5,103.151.74.29,2025,Bangladesh,BD,Chittagong,elite,true,29.84,AS135341,Md Kamrul Islam,8990.66,1784711210.2900162
socks5,182.163.96.66,1080,Bangladesh,BD,Dhaka,elite,true,57.9,AS9230,Bangladesh Online Ltd,2383.19,1784711181.105743
socks5,103.145.133.84,1080,Bangladesh,BD,Sonargaon,elite,true,40.3,AS139809,Md Raisul Islam,3287.61,1784711179.2437515
socks5,103.151.74.5,2025,Bangladesh,BD,Chittagong,elite,true,30.35,AS135341,Md Kamrul Islam,5061.44,1784711177.6310132
socks5,119.148.51.30,22122,Bangladesh,BD,Dhaka,elite,true,49.26,AS23923,Agni Systems Limited,9356.93,1784711176.0820255
socks5,182.48.78.141,8008,Bangladesh,BD,Dhaka,elite,true,58.12,AS63969,Corporate Office,2449.64,1784711147.0596418
socks5,116.204.231.88,1080,Bangladesh,BD,Rangpur City,elite,true,17.0,AS58689,ICC Communication Ltd,4905.69,1784711117.123712
socks5,103.136.107.70,1080,Bangladesh,BD,Cox's Bazar,elite,true,50.66,AS134599,Harunur Rashid,1060.64,1784711114.702359
socks5,59.152.97.233,1080,Bangladesh,BD,Paltan,elite,true,84.74,AS58715,Earth Telecommunication ( pvt ) Limited,2305.46,1784711103.0748694
socks5,163.47.37.190,1080,Bangladesh,BD,Rajshahi,elite,true,58.36,AS63961,Bangladesh Research and Education Network (BdREN),8260.98,1784711341.3646615
