protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,31.211.142.115,8192,Bulgaria,BG,Pleven,elite,true,42.48,AS197897,5KOM,7482.33,1788371336.1002092
http,88.203.131.197,95,Bulgaria,BG,Sofia,transparent,true,35.34,AS8717,A1 Bulgaria EAD,9114.3,1788371330.0767457
http,78.142.61.77,3128,Bulgaria,BG,Sofia,elite,true,61.47,AS200628,BGO Cloud OOD,14181.94,1788371316.4167476
socks4,212.50.19.150,4153,Bulgaria,BG,Sofia,elite,true,18.68,AS8717,Spectrum NET,3143.57,1788371311.7248933
http,85.187.224.21,8080,Bulgaria,BG,Kardzhali,transparent,false,18.49,AS199173,Technolux Ltd,4178.4,1788371281.1863666
http,78.142.61.74,3128,Bulgaria,BG,Sofia,elite,true,59.54,AS200628,BGO Cloud OOD,22017.7,1788371251.8207362
http,78.142.61.78,3128,Bulgaria,BG,Sofia,elite,false,59.52,AS200628,BGO Cloud OOD,13814.72,1788371217.5363257
http,78.142.61.76,3128,Bulgaria,BG,Sofia,elite,true,61.24,AS200628,BGO Cloud OOD,16659.35,1788371170.4763405
http,87.126.65.11,1388,Bulgaria,BG,Stara Zagora,transparent,false,6.14,AS8866,Vivacom Bulgaria EAD,8447.48,1788371149.9527304
http,46.55.143.145,8080,Bulgaria,BG,Bolyartsi,transparent,false,14.68,AS51582,DCC,1053.41,1788371143.9989579
