protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.130.246.65,1881,Bulgaria,BG,Plovdiv,transparent,false,7.56,AS9070,"""Cooolbox"" AD",8496.75,1785793740.953482
http,213.169.33.8,8001,Bulgaria,BG,Sofia,transparent,false,15.05,AS8717,A1 Bulgaria EAD,4074.76,1785793720.8444605
http,93.123.16.14,80,Bulgaria,BG,Sofia,elite,false,100.0,AS9028,Ohost LLC,81.73,1785793716.9593074
http,93.123.16.38,80,Bulgaria,BG,Sofia,elite,false,99.64,AS9028,Ohost LLC,80.4,1785793713.3555155
http,185.205.210.154,8095,Bulgaria,BG,Sofia,elite,true,53.74,AS44901,Belcloud LTD,8774.97,1785793710.1854472
http,85.187.224.21,8080,Bulgaria,BG,Kardzhali,transparent,false,17.7,AS199173,Technolux Ltd,5644.88,1785793696.9680066
http,185.205.210.154,8083,Bulgaria,BG,Sofia,elite,true,59.8,AS44901,Belcloud LTD,5378.48,1785793684.7553072
http,185.205.210.154,8084,Bulgaria,BG,Sofia,elite,true,32.14,AS44901,Belcloud LTD,1147.2,1785793663.303619
http,151.237.86.78,8080,Bulgaria,BG,Kardzhali,transparent,false,8.93,AS48233,Netroniks EOOD,3131.06,1785793654.7218428
http,87.126.65.11,1388,Bulgaria,BG,Stara Zagora,transparent,false,6.07,AS8866,Vivacom Bulgaria EAD,15065.7,1785793637.785384
