protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,177.184.72.22,4145,Brazil,BR,Barra do Piraí,elite,true,3.43,AS52898,Multipla Serviços Inteligentes,1927.95,1785626944.565397
socks4,179.189.245.41,5432,Brazil,BR,Recife,elite,true,45.34,AS28252,WorldNet Telecom Comercio e Serviços de Telecomuni,2193.27,1785626941.8566856
socks4,138.186.133.161,4153,Brazil,BR,Itabaiana,elite,true,13.6,AS53160,Unidasnet Comunicacoes Ltda,984.15,1785626941.1675692
socks4,143.255.109.76,1080,Brazil,BR,Águas Lindas de Goiás,elite,true,56.93,AS265144,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,1034.39,1785626940.9294457
socks4,147.15.17.132,1081,Brazil,BR,São Paulo,elite,true,73.88,AS31898,Oracle Corporation,8564.55,1785626938.433405
socks4,200.188.246.122,60606,Brazil,BR,São José,elite,true,54.09,AS11844,Empresa Catarinense de Tecnologia em Telecom. Ltda,1159.43,1785626931.2331898
socks4,147.15.17.132,1084,Brazil,BR,São Paulo,elite,true,40.08,AS31898,Oracle Corporation,4082.05,1785626930.8012805
socks4,147.15.122.136,1094,Brazil,BR,São Paulo,elite,true,35.4,AS31898,Oracle Corporation,4060.32,1785626930.4264889
socks4,187.85.152.42,5432,Brazil,BR,Canoinhas,elite,true,37.67,AS53062,Ggnet Telecom Backbone,1043.38,1785626929.727642
socks4,147.15.17.132,1082,Brazil,BR,São Paulo,elite,true,72.32,AS31898,Oracle Corporation,4024.75,1785626929.2225072
socks5,144.22.165.206,1088,Brazil,BR,São Paulo,elite,true,99.76,AS31898,Oracle Corporation,2540.03,1785626924.222431
socks4,147.15.122.136,1092,Brazil,BR,São Paulo,elite,true,30.08,AS31898,Oracle Corporation,6664.54,1785626921.781223
socks5,186.26.95.249,61445,Brazil,BR,São João de Meriti,elite,true,54.96,AS274386,Nosso Wi-fi Ltda,4475.72,1785626921.4674032
socks4,147.15.17.132,1094,Brazil,BR,São Paulo,elite,true,65.87,AS31898,Oracle Corporation,9181.89,1785626920.601721
socks4,168.227.158.49,4145,Brazil,BR,Piraí,elite,true,3.32,AS52898,Multipla Serviços Inteligentes,8205.05,1785626915.3853776
socks5,147.15.17.132,1082,Brazil,BR,São Paulo,elite,true,67.93,AS31898,Oracle Corporation,7251.74,1785626906.5436692
http,177.139.174.81,8080,Brazil,BR,São Paulo,transparent,false,29.41,AS27699,Vivo,11780.46,1785626900.5963438
socks4,177.54.239.13,4145,Brazil,BR,Araguaína,elite,true,53.68,AS262462,Aranet Comunicacao Ltda,4488.18,1785626896.6707969
http,131.255.227.104,3128,Brazil,BR,Marabá,transparent,false,14.84,AS264496,IR Tecnologia (Fibralink),3201.74,1785626890.7383432
http,138.59.20.140,9999,Brazil,BR,Santa Luzia,transparent,false,13.44,AS28201,Companhia Itabirana Telecomunicações Ltda,4093.28,1785626885.5740473
socks4,177.131.118.123,5432,Brazil,BR,Chapecó,elite,true,44.01,AS262391,Acessoline Telecom,5605.18,1785626877.0334413
http,177.55.68.68,8080,Brazil,BR,Canaã dos Carajás,transparent,false,25.49,AS264496,IR Tecnologia (Fibralink),11342.44,1785626862.963097
http,179.84.72.179,8085,Brazil,BR,Belém,transparent,false,37.79,AS26599,Vivo,4637.78,1785626857.22214
http,143.255.147.242,8080,Brazil,BR,Sombrio,transparent,false,15.78,AS265148,Pontonet Computadores e Redes Ltda Epp,5856.29,1785626854.6158354
http,168.195.168.182,8080,Brazil,BR,São Paulo,transparent,true,36.97,AS265436,SkyNet Telecomunicações,5521.47,1785626846.911867
http,187.49.83.166,53000,Brazil,BR,Cascavel,transparent,false,10.13,AS28142,DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES EIRELI,5147.06,1785626845.4598784
http,179.191.229.45,8900,Brazil,BR,São João das Missões,transparent,false,9.69,AS263420,ACX TELECOM LTDA.,9695.55,1785626838.15363
http,201.20.42.46,3128,Brazil,BR,São Paulo,transparent,true,83.82,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,15614.0,1785626832.7558343
http,168.228.176.30,3139,Brazil,BR,Tianguá,transparent,true,17.21,AS264926,BRASILINK SERVIÇOS EIRELI,4193.91,1785626825.663148
http,45.183.11.194,8080,Brazil,BR,Machacalis,transparent,true,35.82,AS269269,V1 Informática,2389.01,1785626823.3317964
http,179.108.171.5,8080,Brazil,BR,Araranguá,transparent,false,34.94,AS28642,Contato Internet EIRELI,5342.13,1785626820.7897854
http,179.48.10.1,8088,Brazil,BR,Campo Maior,transparent,false,14.11,AS271113,Carnaubanet Ltda,7447.51,1785626810.2425938
http,177.130.104.118,33333,Brazil,BR,Santo Anastácio,transparent,false,14.63,AS28287,Vero S.A,16023.14,1785626800.0950491
http,187.19.201.217,8080,Brazil,BR,Acopiara,transparent,false,7.39,AS28126,Brisanet Servicos De Telecomunicacoes S.A,6650.28,1785626795.7055035
