protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,177.85.7.122,8080,Brazil,BR,Patrocínio,transparent,true,23.98,AS262595,OnNet Telecomunicações LTDA,828.33,1786426746.910076
http,177.85.69.252,9999,Brazil,BR,Feira de Santana,transparent,true,15.15,AS262600,ASE TELECOMUNICAÇÕES LTDA ME,621.3,1786426742.972786
http,179.185.89.251,8080,Brazil,BR,Campo Grande,transparent,false,13.12,AS18881,TELEFÔNICA BRASIL S.A,6831.68,1786426736.3606849
http,186.227.196.104,3128,Brazil,BR,Cabedelo,transparent,true,31.51,AS53055,Dimenoc Servicos De Informatica Ltda,9570.04,1786426735.6807694
http,131.100.26.163,8180,Brazil,BR,Brooklin,transparent,true,29.25,AS53107,Eveo S.A.,5042.35,1786426733.4126935
http,170.81.211.79,8080,Brazil,BR,Carapicuíba,transparent,false,19.17,AS266423,Connectvy Telecomunicacoes Ltda,4011.68,1786426728.6508617
http,191.209.13.252,8085,Brazil,BR,Piracicaba,transparent,true,36.29,AS27699,Vivo,11519.11,1786426726.6934166
http,170.247.200.138,8088,Brazil,BR,Tutóia,transparent,false,23.33,AS263256,PIX PROVEDOR DE INTERNET LTDA - ME,3855.91,1786426726.640811
http,143.208.152.62,3180,Brazil,BR,Muqui,transparent,true,29.75,AS265130,Fibra Empresas Ltda,1453.12,1786426723.8980806
http,45.231.101.97,9999,Brazil,BR,Salvador,transparent,true,8.86,AS267236,Velho Ponto Net -Telecom,596.75,1786426720.9457552
http,200.252.32.40,53281,Brazil,BR,Brasília,elite,false,3.7,AS4230,Claro S.A,5891.54,1786426717.3673363
http,177.136.44.194,54443,Brazil,BR,Salvador,transparent,false,5.02,AS52871,TASCOM TELECOMUNICAÇÕES LTDA,2417.96,1786426715.5642278
http,179.108.171.5,8080,Brazil,BR,Araranguá,transparent,true,31.13,AS28642,Contato Internet EIRELI,7848.87,1786426701.0413997
http,200.201.134.184,8787,Brazil,BR,São Paulo,elite,true,10.02,AS11432,Telium Telecomunicações Ltda,5239.51,1786426700.9305778
http,191.252.111.160,7000,Brazil,BR,São Paulo,elite,false,38.03,AS27715,Locaweb Serviços de Internet S/A,7346.98,1786426700.6641924
http,187.89.29.97,8085,Brazil,BR,São Paulo,transparent,true,58.28,AS26599,Vivo,2409.01,1786426697.5707204
http,179.136.111.46,8080,Brazil,BR,Três Lagoas,transparent,false,25.45,AS28573,Claro NXT Telecomunicacoes Ltda,5705.98,1786426696.974631
http,45.227.195.121,8082,Brazil,BR,Concórdia,transparent,false,8.16,AS28146,Mhnet Telecom,14449.91,1786426696.7327955
http,201.20.95.226,8080,Brazil,BR,Parnamirim,transparent,false,11.51,AS28598,DB3 SERVICOS DE TELECOMUNICACOES S.A,6472.34,1786426691.3764517
http,38.10.91.119,8084,Brazil,BR,Vitória da Conquista,transparent,false,6.23,AS136244,Cogent Communications,10690.68,1786426681.6380975
http,134.65.238.25,3129,Brazil,BR,Vinhedo,transparent,false,7.22,AS31898,Oracle Corporation,13925.06,1786426678.9909508
http,179.48.8.1,8088,Brazil,BR,Campo Maior,transparent,false,12.54,AS271113,Carnaubanet Ltda,5030.12,1786426669.320156
http,177.135.190.101,8080,Brazil,BR,Recife,transparent,false,12.5,AS18881,TELEFÔNICA BRASIL S.A,1612.81,1786426667.525586
http,177.23.156.192,18800,Brazil,BR,Aparecida de Goiânia,transparent,false,4.48,AS52911,netstore tecnologia ltda,6345.03,1786426666.3478212
http,187.49.178.237,8080,Brazil,BR,Fortaleza,transparent,false,15.97,AS264562,PBR SERVICOS DE TELECOMUNICACOES LTDA,8248.78,1786426665.352458
http,45.71.15.2,8080,Brazil,BR,Penápolis,transparent,false,12.78,AS267595,Milanin NET,12183.88,1786426662.4492128
http,177.102.15.221,8085,Brazil,BR,São Paulo,transparent,true,30.94,AS27699,Vivo,1448.33,1786426662.0816536
http,131.255.227.104,3128,Brazil,BR,Marabá,transparent,false,15.07,AS264496,IR Tecnologia (Fibralink),14756.48,1786426656.2961552
http,177.139.174.81,8080,Brazil,BR,São Paulo,transparent,false,28.33,AS27699,Vivo,8716.59,1786426655.3444853
http,179.124.139.220,80,Brazil,BR,Flores,elite,false,30.16,AS52965,1telecom Servicos De Tecnologia EM Internet Ltda,13740.1,1786426654.4165542
http,189.27.197.27,3128,Brazil,BR,São Bernardo do Campo,transparent,false,34.36,AS18881,Vivo,1553.12,1786426647.7458234
http,191.252.195.73,80,Brazil,BR,São Paulo,transparent,true,14.91,AS27715,Locaweb Serviços de Internet S/A,8221.05,1786426646.8824766
http,187.94.220.85,8080,Brazil,BR,Vitória,transparent,false,6.61,AS53078,Acesse Comunicação Ltda,9562.76,1786426627.55206
http,177.19.167.242,80,Brazil,BR,Porto Alegre,elite,false,29.0,AS18881,TELEFÔNICA BRASIL S.A,5369.1,1786426578.58468
http,177.184.195.168,8080,Brazil,BR,Brasília,transparent,false,15.52,AS28165,Wireless Comm Services LTDA,15869.81,1786426556.436876
http,168.194.147.230,8080,Brazil,BR,Igarapava,transparent,true,19.63,AS264238,Link Net-Igarapava,8625.49,1786426788.8218498
http,168.138.147.179,3128,Brazil,BR,São Paulo,transparent,true,28.94,AS31898,Oracle Corporation,7689.91,1786426770.3045533
http,168.194.147.140,8080,Brazil,BR,Igarapava,transparent,false,22.87,AS264238,Link Net-Igarapava,9602.64,1786426768.0984776
http,168.194.147.143,8080,Brazil,BR,Igarapava,transparent,false,13.97,AS264238,Link Net-Igarapava,9457.3,1786426765.2842877
