protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,170.247.200.138,8088,Brazil,BR,Tutóia,transparent,true,23.32,AS263256,PIX PROVEDOR DE INTERNET LTDA - ME,1813.31,1786458592.7136848
http,201.20.42.46,3128,Brazil,BR,São Paulo,transparent,true,83.27,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,793.4,1786458587.9139564
http,187.62.209.172,8080,Brazil,BR,São Paulo,transparent,true,82.76,AS273490,Fibrion Internet Ltda,3301.48,1786458587.484809
http,191.252.196.208,8889,Brazil,BR,Itacoatiara,transparent,true,100.0,AS27715,Locaweb Serviços de Internet S/A,587.84,1786458585.3040168
http,201.20.42.46,3127,Brazil,BR,São Paulo,transparent,true,69.35,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,3483.6,1786458545.8490112
http,168.228.176.12,3139,Brazil,BR,Tianguá,transparent,true,17.1,AS264926,BRASILINK SERVIÇOS EIRELI,882.46,1786458522.1465473
http,143.208.152.62,3180,Brazil,BR,Muqui,transparent,true,29.68,AS265130,Fibra Empresas Ltda,4152.18,1786458518.7471666
http,191.252.203.222,8889,Brazil,BR,Itacoatiara,transparent,true,80.95,AS27715,Locaweb Serviços de Internet S/A,6472.41,1786458517.204665
http,191.252.202.127,8889,Brazil,BR,Itacoatiara,transparent,true,96.3,AS27715,Locaweb Serviços de Internet S/A,6465.3,1786458514.6184213
http,206.42.12.58,3132,Brazil,BR,Fortaleza,transparent,true,26.52,AS28126,Brisanet Prestacao De Servicos De Internet Ltda,6486.12,1786458494.4062438
