protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,179.189.249.137,5432,Brazil,BR,Recife,elite,true,45.93,AS28252,WorldNet Telecom Comercio e Serviços de Telecomuni,973.46,1789556366.3187308
socks4,143.255.109.76,1080,Brazil,BR,Águas Lindas de Goiás,elite,true,52.14,AS265144,MCD INFORMATICA E TELECOMUNICACOES LTDA - ME,1056.04,1789556361.5691175
socks4,177.54.239.13,4145,Brazil,BR,Araguaína,elite,true,49.54,AS262462,Aranet Comunicacao Ltda,950.87,1789556354.9580162
socks4,179.189.248.125,5432,Brazil,BR,Recife,elite,true,43.51,AS28252,WorldNet Telecom Comercio e Servi?os de Telecomuni,1998.56,1789556352.222161
socks4,163.176.179.226,1080,Brazil,BR,São Paulo,elite,true,40.37,AS31898,Oracle Corporation,2991.76,1789556349.9731264
socks4,179.189.243.245,5432,Brazil,BR,Recife,elite,true,43.8,AS28252,WorldNet Telecom Comercio e Serviços de Telecomuni,8256.97,1789556348.8943262
socks4,168.227.158.53,4145,Brazil,BR,Valença,elite,true,6.35,AS52898,Multipla Serviços Inteligentes,919.28,1789556348.41204
socks4,179.189.242.5,5432,Brazil,BR,Recife,elite,true,46.18,AS28252,WorldNet Telecom Comercio e Servi?os de Telecomuni,8233.03,1789556341.2689023
socks4,179.189.248.129,5432,Brazil,BR,Recife,elite,true,43.36,AS28252,WorldNet Telecom Comercio e Servi?os de Telecomuni,3989.32,1789556341.1332314
socks4,190.89.4.182,1080,Brazil,BR,Itanhém,elite,true,46.34,AS270399,Itaconect Serviços de Comunicação e Multimidia,2182.06,1789556340.6206584
socks4,170.80.221.192,4153,Brazil,BR,Vitória de Santo Antão,elite,true,42.55,AS265274,LOCALLINK TELECOMUNICAÇÕES LTDA - ME,8225.23,1789556337.637079
socks4,143.208.130.155,5678,Brazil,BR,Recife,elite,true,48.37,AS264091,Lanservi Tecnologia,8126.74,1789556337.2023883
socks4,190.89.104.88,5432,Brazil,BR,Chapecó,elite,true,44.67,AS262391,Acessoline Telecomunicacoes Ltda,1987.02,1789556331.5969415
socks4,190.109.72.17,33633,Brazil,BR,São Geraldo do Araguaia,elite,true,9.58,AS264231,RG.COM - INFORMATICA & COMUNICACAO LTDA - ME,3978.04,1789556326.885073
