protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,178.172.217.166,10840,Belarus,BY,Urechcha,elite,true,88.98,AS60591,Support Chain LLC,223.54,1784702650.952697
socks4,86.57.178.182,4153,Belarus,BY,Minsk,elite,true,38.04,AS6697,Republican Unitary Telecommunication Enterprise Beltelecom,1194.88,1784702645.3778825
socks5,80.249.81.179,9050,Belarus,BY,Minsk,elite,true,28.52,AS12406,Business network jv,4779.37,1784702644.9450378
socks4,80.249.81.179,9050,Belarus,BY,Minsk,elite,true,33.23,AS12406,Business network jv,7897.67,1784702636.6102507
http,178.172.217.166,10780,Belarus,BY,Urechcha,elite,true,88.21,AS60591,Support Chain LLC,2270.13,1784702634.3304162
http,91.149.142.139,8080,Belarus,BY,Minsk,transparent,true,32.78,AS31143,Cosmos TV Jllc,8998.69,1784702625.4326756
http,178.172.217.166,10845,Belarus,BY,Urechcha,elite,true,88.69,AS60591,Support Chain LLC,214.42,1784702621.8035903
http,178.172.217.166,10786,Belarus,BY,Urechcha,elite,true,89.6,AS60591,Support Chain LLC,219.13,1784702606.166574
http,178.172.217.166,10869,Belarus,BY,Urechcha,elite,true,89.16,AS60591,Support Chain LLC,230.85,1784702595.9299023
http,178.172.217.166,10775,Belarus,BY,Urechcha,elite,true,97.92,AS60591,Support Chain LLC,191.49,1784702561.3666806
http,178.172.217.166,10773,Belarus,BY,Urechcha,elite,false,88.74,AS60591,Support Chain LLC,199.05,1784702554.4635525
