protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,51.222.104.72,1080,Canada,CA,Montreal,elite,true,88.28,AS16276,OVH SAS,3712.4,1787096691.5147252
socks4,45.73.0.118,5678,Canada,CA,Montreal,elite,true,25.22,AS5769,Videotron Ltee,541.01,1787096691.1537952
socks4,155.138.139.189,32768,Canada,CA,Toronto,elite,true,24.25,AS20473,The Constant Company,13584.67,1787096674.0885932
socks5,38.49.210.79,40000,Canada,CA,Montreal,elite,true,85.69,AS26832,Rica Web Services,3614.79,1787096671.698965
socks5,104.234.138.98,9080,Canada,CA,Toronto,elite,true,32.21,AS49981,WorldStream B.V.,18485.26,1787096665.8041523
socks4,138.197.148.194,9050,Canada,CA,Toronto,elite,true,18.01,AS14061,"DigitalOcean, LLC",1060.14,1787096662.262536
socks4,104.234.138.98,9082,Canada,CA,Toronto,elite,true,12.2,AS49981,WorldStream B.V.,7685.22,1787096647.0210989
http,15.235.21.254,8080,Canada,CA,Beauharnois,anonymous,true,92.6,AS16276,OVH SAS,333.93,1787096646.3493798
socks5,138.197.148.194,9050,Canada,CA,Toronto,elite,true,16.62,AS14061,"DigitalOcean, LLC",3767.09,1787096629.1803658
socks5,68.233.127.229,1080,Canada,CA,Montreal,elite,true,42.68,AS31898,Oracle Corporation,10362.26,1787096615.0977538
http,173.181.143.245,80,Canada,CA,Surrey,elite,false,38.84,AS852,TELUS Communications Inc.,17558.68,1787096606.7487347
http,107.161.9.167,8080,Canada,CA,Montreal,transparent,true,10.73,AS22652,Videotron Ltee,21835.31,1787096525.6088393
