protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,144.217.94.235,8080,Canada,CA,Beauharnois,transparent,true,21.03,AS16276,OVH SAS,2676.08,1786766969.4320447
http,96.1.101.113,80,Canada,CA,Calgary,elite,false,32.15,AS852,TELUS Communications Inc.,5756.07,1786766967.7295902
http,158.69.49.180,8080,Canada,CA,Montreal,transparent,true,23.4,AS16276,OVH SAS,3698.9,1786766967.4648674
http,15.235.21.254,8080,Canada,CA,Beauharnois,anonymous,true,93.7,AS16276,OVH SAS,285.82,1786766950.722668
http,96.44.137.126,8118,Canada,CA,Toronto,elite,false,13.22,AS36352,HostPapa,368.02,1786766941.236059
http,38.49.210.122,8118,Canada,CA,Montreal,elite,false,13.44,AS26832,Rica Web Services,10382.77,1786766914.752068
http,144.217.89.217,8080,Canada,CA,Beauharnois,transparent,false,20.08,AS16276,OVH SAS,21480.56,1786766909.6724536
http,144.217.95.106,8080,Canada,CA,Beauharnois,transparent,false,20.26,AS16276,OVH SAS,15808.23,1786766905.2494574
http,54.39.28.106,8082,Canada,CA,Beauharnois,transparent,false,28.91,AS16276,OVH SAS,17736.72,1786766900.355723
http,158.69.49.179,8080,Canada,CA,Montreal,transparent,true,22.98,AS16276,OVH SAS,15390.69,1786766893.8047428
http,148.113.167.24,8080,Canada,CA,Beauharnois,transparent,false,20.85,AS16276,OVH SAS,16036.27,1786766888.482114
http,107.161.9.167,8080,Canada,CA,Montreal,transparent,false,10.72,AS22652,Videotron Ltee,12925.89,1786766968.2379556
