protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,45.95.38.57,9050,Canada,CA,Winnipeg,elite,true,28.06,AS394352,Fastnet Communications,22925.3,1784065408.3756688
socks5,51.222.12.245,10084,Canada,CA,Beauharnois,elite,true,69.58,AS16276,OVH SAS,582.04,1784065352.536295
socks5,51.222.13.193,10084,Canada,CA,Beauharnois,elite,true,68.03,AS16276,OVH SAS,3029.64,1784065236.1851985
socks5,138.197.148.194,9050,Canada,CA,Toronto,elite,true,14.81,AS14061,"DigitalOcean, LLC",16604.73,1784065142.985754
socks5,68.233.127.229,1080,Canada,CA,Montreal,elite,true,52.49,AS31898,Oracle Corporation,7085.56,1784065107.2322412
socks5,184.95.220.42,1080,Canada,CA,Montreal,elite,true,41.34,AS22652,Videotron Telecom Ltee,1606.09,1784065500.3525894
socks5,167.114.172.208,1088,Canada,CA,Montreal,elite,true,99.79,AS16276,OVH SAS,717.05,1784065489.2905755
socks5,151.145.63.243,1080,Canada,CA,Montreal,elite,true,45.56,AS31898,Oracle Corporation,4624.28,1784065439.905479
socks5,184.95.235.194,1080,Canada,CA,Montreal,elite,true,41.25,AS22652,Videotron Telecom Ltee,7974.17,1784065333.9776614
socks5,38.49.210.79,40000,Canada,CA,Montreal,elite,true,95.6,AS26832,Rica Web Services,1682.92,1784065266.727241
