protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,147.161.246.246,10314,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,709.46,1789654190.5401556
http,147.161.246.246,12070,Switzerland,CH,Zurich,elite,true,99.74,AS62044,Zscaler Switzerland GmbH,1076.04,1789654182.7859602
http,147.161.246.246,11401,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,7991.33,1789654182.433078
http,147.161.246.246,10284,Switzerland,CH,Zurich,elite,true,99.49,AS62044,Zscaler Switzerland GmbH,754.18,1789654180.0727518
http,147.161.246.246,22222,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,1789.14,1789654178.488157
http,147.161.246.246,11477,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,3474.66,1789654172.498791
http,147.161.246.246,12284,Switzerland,CH,Zurich,elite,true,99.73,AS62044,Zscaler Switzerland GmbH,366.8,1789654169.124868
http,147.161.246.246,11143,Switzerland,CH,Zurich,elite,true,99.71,AS62044,Zscaler Switzerland GmbH,2881.09,1789654165.747094
http,147.161.246.246,11368,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,693.72,1789654161.4134119
http,147.161.246.246,11776,Switzerland,CH,Zurich,elite,true,99.23,AS62044,Zscaler Switzerland GmbH,1469.75,1789654152.738576
http,147.161.246.246,9443,Switzerland,CH,Zurich,elite,true,99.49,AS62044,Zscaler Switzerland GmbH,3720.89,1789654152.3425581
http,147.161.246.246,11921,Switzerland,CH,Zurich,elite,true,99.74,AS62044,Zscaler Switzerland GmbH,1739.53,1789654146.1306539
http,147.161.246.246,12573,Switzerland,CH,Zurich,elite,true,99.68,AS62044,Zscaler Switzerland GmbH,539.97,1789654142.7670248
socks5,185.195.71.218,18080,Switzerland,CH,Hünenberg,elite,true,53.1,AS56803,Datasource AG,1563.71,1789654142.0282946
http,147.161.246.246,10810,Switzerland,CH,Zurich,elite,true,99.04,AS62044,Zscaler Switzerland GmbH,600.61,1789654137.804788
http,147.161.246.246,10878,Switzerland,CH,Zurich,elite,true,99.49,AS62044,Zscaler Switzerland GmbH,1011.78,1789654115.9505398
http,147.161.246.246,10696,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,746.06,1789654111.625716
http,34.65.99.32,3128,Switzerland,CH,Zurich,elite,true,36.5,AS396982,Google LLC,8250.93,1789654111.4911218
http,147.161.246.246,10088,Switzerland,CH,Zurich,elite,true,100.0,AS62044,Zscaler Switzerland GmbH,3577.53,1789654090.116132
