protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,147.161.246.246,11477,Switzerland,CH,Zurich,elite,true,44.95,AS62044,Zscaler Switzerland GmbH,3113.78,1789987141.386021
http,147.161.246.246,10810,Switzerland,CH,Zurich,elite,true,37.39,AS62044,Zscaler Switzerland GmbH,6153.21,1789987133.3801386
http,147.161.246.246,10813,Switzerland,CH,Zurich,elite,false,96.15,AS62044,Zscaler Switzerland GmbH,7851.63,1789987125.5647414
http,147.161.246.246,10800,Switzerland,CH,Zurich,elite,true,97.6,AS62044,Zscaler Switzerland GmbH,1933.14,1789987120.7653818
http,147.161.246.246,12278,Switzerland,CH,Zurich,elite,false,96.61,AS62044,Zscaler Switzerland GmbH,10763.07,1789987109.770095
http,147.161.246.246,11083,Switzerland,CH,Zurich,elite,false,96.75,AS62044,Zscaler Switzerland GmbH,7936.26,1789987109.4692523
http,147.161.246.246,12448,Switzerland,CH,Zurich,elite,false,97.01,AS62044,Zscaler Switzerland GmbH,7020.65,1789987108.3803725
http,147.161.246.246,12156,Switzerland,CH,Zurich,elite,false,95.85,AS62044,Zscaler Switzerland GmbH,5519.0,1789987105.8859172
http,147.161.246.246,9443,Switzerland,CH,Zurich,elite,true,48.51,AS62044,Zscaler Switzerland GmbH,1507.63,1789987104.4129395
http,147.161.246.246,11273,Switzerland,CH,Zurich,elite,true,97.31,AS62044,Zscaler Switzerland GmbH,7615.4,1789987098.305405
http,147.161.246.246,10256,Switzerland,CH,Zurich,elite,true,97.67,AS62044,Zscaler Switzerland GmbH,7615.54,1789987098.3048277
http,147.161.246.246,22222,Switzerland,CH,Zurich,elite,true,37.5,AS62044,Zscaler Switzerland GmbH,3888.83,1789987088.6472058
http,147.161.246.246,10501,Switzerland,CH,Zurich,elite,false,96.66,AS62044,Zscaler Switzerland GmbH,3632.57,1789987078.931048
http,147.161.246.246,11548,Switzerland,CH,Zurich,elite,true,98.04,AS62044,Zscaler Switzerland GmbH,5618.93,1789987076.8962333
http,147.161.246.246,10088,Switzerland,CH,Zurich,elite,true,48.75,AS62044,Zscaler Switzerland GmbH,5621.51,1789987076.888718
http,147.161.246.246,10809,Switzerland,CH,Zurich,elite,false,96.35,AS62044,Zscaler Switzerland GmbH,7907.3,1789987075.3371933
http,147.161.246.246,12573,Switzerland,CH,Zurich,elite,true,47.51,AS62044,Zscaler Switzerland GmbH,5658.19,1789987073.796134
http,147.161.246.246,10803,Switzerland,CH,Zurich,elite,true,95.41,AS62044,Zscaler Switzerland GmbH,303.66,1789987072.4165564
http,147.161.246.246,10308,Switzerland,CH,Zurich,elite,true,95.28,AS62044,Zscaler Switzerland GmbH,2736.7,1789987071.803092
http,147.161.246.246,10314,Switzerland,CH,Zurich,elite,true,42.01,AS62044,Zscaler Switzerland GmbH,3800.66,1789987070.741788
http,147.161.246.246,33333,Switzerland,CH,Zurich,elite,true,96.05,AS62044,Zscaler Switzerland GmbH,4199.8,1789987066.44772
http,147.161.246.246,11794,Switzerland,CH,Zurich,elite,true,96.62,AS62044,Zscaler Switzerland GmbH,13741.01,1789987065.7681203
