protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.54.100.74,5678,Chile,CL,Santiago,elite,true,26.08,AS6429,Telmex Chile Internet S.A.,2704.76,1788882589.3370426
http,190.102.247.122,999,Chile,CL,Los Ángeles,transparent,true,21.91,AS27901,Pacifico Cable SPA.,2782.48,1788882587.955155
socks4,190.13.147.241,5678,Chile,CL,Osorno,elite,true,47.44,AS14117,Telefonica del Sur S.A,8537.7,1788882583.0109346
http,38.7.195.55,999,Chile,CL,Santiago,transparent,false,30.17,AS263702,Grupo ZGH SpA,3131.69,1788882573.7007623
http,170.245.50.65,8080,Chile,CL,Santiago,transparent,false,22.72,AS52510,MI INTERNET SPA,6002.88,1788882570.738423
http,152.230.215.123,80,Chile,CL,Colina,elite,false,41.73,AS14259,Gtd Internet S.A.,3411.74,1788882568.8327253
http,45.4.2.24,999,Chile,CL,Santiago,transparent,false,15.35,AS265662,Tlink SPA,6544.18,1788882568.6668127
http,45.225.206.1,999,Chile,CL,Las Cabras,transparent,false,12.04,AS265858,Netdelsur Telecomunicaciones SPA,12683.33,1788882565.247196
http,38.7.195.51,999,Chile,CL,Santiago,transparent,false,30.03,AS263702,Grupo ZGH SpA,2817.29,1788882543.2511296
http,200.95.184.54,999,Chile,CL,Chillan,transparent,false,31.01,AS264859,Comunicaciones Cablevision Ltda.,4620.21,1788882488.441782
http,45.225.207.248,999,Chile,CL,Las Cabras,anonymous,false,18.84,AS265858,Netdelsur Telecomunicaciones SPA,2289.73,1788882487.1455922
