protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,152.230.215.123,80,Chile,CL,Santiago,elite,false,40.7,AS14259,Gtd Internet S.A.,11877.38,1788407024.5527606
http,181.74.82.91,999,Chile,CL,Limache,transparent,false,30.28,AS6535,Telmex Servicios Empresariales S.A.,9458.02,1788407020.4606986
http,38.7.195.52,999,Chile,CL,Santiago,transparent,false,29.94,AS263702,Grupo ZGH SpA,2415.62,1788407018.724428
http,38.7.195.50,999,Chile,CL,Santiago,transparent,true,29.83,AS263702,Grupo ZGH SpA,6750.99,1788407014.2127624
http,38.7.195.51,999,Chile,CL,Santiago,transparent,false,29.84,AS263702,Grupo ZGH SpA,2122.74,1788407012.8370807
http,190.211.250.132,999,Chile,CL,Osorno,transparent,false,3.74,AS271836,Compañia de Comunicaciones Coyhaique Ltda.,12690.87,1788407006.708828
http,45.162.132.9,999,Chile,CL,Puente Alto,transparent,true,6.19,AS271843,Lara Ingenieria EN Tecnologia Y Telecomunicaciones Limitada,17396.51,1788406993.0859244
http,170.245.50.225,8080,Chile,CL,Santiago,transparent,false,21.97,AS52510,MI INTERNET SPA,5422.07,1788406958.5149963
http,45.225.204.11,999,Chile,CL,Las Cabras,transparent,false,18.86,AS265858,Netdelsur Telecomunicaciones SPA,5508.36,1788406950.9475553
http,38.7.195.55,999,Chile,CL,Santiago,transparent,true,30.0,AS263702,Grupo ZGH SpA,3263.6,1788406943.6128843
http,45.225.206.1,999,Chile,CL,Las Cabras,transparent,false,12.17,AS265858,Netdelsur Telecomunicaciones SPA,9907.63,1788406912.593497
