protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.225.205.240,999,Chile,CL,Las Cabras,transparent,true,15.62,AS265858,Netdelsur Telecomunicaciones SPA,9304.0,1784174355.7438083
http,45.225.204.11,999,Chile,CL,Las Cabras,transparent,true,20.22,AS265858,Netdelsur Telecomunicaciones SPA,5321.31,1784174337.3918664
http,170.245.50.65,8080,Chile,CL,Santiago,transparent,true,27.18,AS52510,MI INTERNET SPA,12613.87,1784174276.9797997
http,170.245.50.225,8080,Chile,CL,Santiago,transparent,true,25.49,AS52510,MI INTERNET SPA,9385.33,1784174271.147557
http,177.128.115.198,999,Chile,CL,Melipilla,transparent,true,9.1,AS269988,Binet Networking Data Limitada,686.33,1784174256.3211682
http,38.7.195.51,999,Chile,CL,Santiago,transparent,true,28.47,AS263702,Grupo ZGH SpA,9563.61,1784174389.43569
http,38.7.195.55,999,Chile,CL,Santiago,transparent,true,28.59,AS263702,Grupo ZGH SpA,2919.47,1784174385.5303452
http,38.7.195.53,999,Chile,CL,Santiago,transparent,true,36.73,AS263702,Grupo ZGH SpA,11976.28,1784174360.32913
http,64.176.6.165,13920,Chile,CL,Santiago,elite,true,4.71,AS20473,The Constant Company,19386.62,1784174358.4888844
http,201.220.112.98,999,Chile,CL,Bulnes,transparent,true,6.06,AS14117,Telefonica del Sur S.A.,2636.84,1784174252.679829
http,38.7.195.52,999,Chile,CL,Santiago,transparent,true,28.5,AS263702,Grupo ZGH SpA,9636.06,1784174215.5082827
