protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,218.90.167.205,1080,China,CN,Wuxi,elite,true,11.93,AS4134,Chinanet,3331.71,1789516799.9242141
socks5,36.155.23.163,10808,China,CN,Nanjing,elite,true,82.72,AS56046,China Mobile Communications Corporation,1277.35,1789516799.1426437
socks4,36.155.23.163,10808,China,CN,Nanjing,elite,true,85.37,AS56046,China Mobile Communications Corporation,1290.1,1789516799.0984056
socks4,116.232.80.133,1080,China,CN,Shanghai,elite,true,46.77,AS4812,China Telecom (Group),2289.59,1789516797.7674472
socks5,117.93.210.21,8989,China,CN,Nanjing,elite,true,2.37,AS4134,Chinanet,1551.95,1789516792.118349
socks4,166.111.189.38,29290,China,CN,Haidian,elite,true,92.3,AS4538,China Education and Research Network Center,3812.61,1789516791.4695728
http,153.0.171.163,8085,China,CN,Haikou,elite,false,98.29,AS4837,China Unicom Hainan Province Network,1062.92,1789516791.147405
http,125.122.35.253,8086,China,CN,Hangzhou,elite,false,99.16,AS58461,Chinanet,2017.93,1789516786.2258558
http,58.33.109.114,2021,China,CN,Shanghai,transparent,true,8.97,AS4812,China Telecom (Group),8344.34,1789516784.7656581
http,180.105.138.138,1080,China,CN,Nanjing,elite,true,10.25,AS4134,Chinanet,1143.13,1789516784.5792236
http,114.236.137.41,21000,China,CN,Nanjing,transparent,true,98.62,AS4134,Chinanet,1320.24,1789516782.299917
socks5,103.210.161.8,1080,China,CN,Guangzhou,elite,true,94.66,AS136958,China Unicom Guangdong IP network,3574.52,1789516780.9936197
http,166.111.189.38,29290,China,CN,Haidian,elite,true,91.13,AS4538,China Education and Research Network Center,1471.6,1789516779.736753
http,101.206.186.99,8080,China,CN,Chengdu,elite,true,86.85,AS4837,China Unicom Sichuan Province Network,16018.61,1789516779.5475352
socks5,180.141.88.241,9009,China,CN,Liuzhou,elite,true,31.88,AS4134,Chinanet,1623.61,1789516778.211047
http,120.232.115.170,17981,China,CN,Guangzhou,elite,true,99.31,AS9808,China Mobile communications corporation,599.33,1789516777.9550567
http,101.66.199.225,8085,China,CN,Hangzhou,elite,false,47.97,AS4837,China Unicom Zhejiang Province Network,1200.79,1789516773.7299116
socks5,221.176.85.236,1080,China,CN,Guangzhou,elite,true,14.54,AS9808,China Mobile communications corporation,2469.23,1789516771.7382748
http,122.246.3.12,17981,China,CN,Ningbo,elite,true,99.39,AS136188,China Telecom,7064.38,1789516769.79152
http,183.236.232.160,8080,China,CN,Guangzhou,elite,false,6.65,AS9808,China Mobile communications corporation,12053.4,1789516767.4857373
socks5,94.191.78.239,1080,China,CN,Chongqing,elite,true,7.49,AS45090,Shenzhen Tencent Computer Systems Company Limited,3566.1,1789516766.8663452
http,36.155.23.163,10808,China,CN,Nanjing,elite,true,85.78,AS56046,China Mobile Communications Corporation,1892.82,1789516763.4441044
socks5,113.249.111.67,1080,China,CN,Chongqing,elite,true,98.63,AS134420,Chongqing Telecom,1813.64,1789516761.2947922
http,113.204.79.230,9091,China,CN,Jinrongjie,elite,false,97.85,AS4837,CHINA UNICOM China169 Backbone,1039.07,1789516761.2587662
http,61.158.175.38,9002,China,CN,Zhengzhou,elite,false,98.26,AS4837,CNC Group CHINA169 Henan Province Network,894.48,1789516759.5737069
http,36.152.150.242,8081,China,CN,Nanjing,elite,true,8.98,AS56046,China Mobile Communications Corporation,11414.72,1789516759.2914612
http,112.5.128.78,8060,China,CN,Fuzhou,elite,false,35.06,AS9808,China Mobile communications corporation,1820.73,1789516751.3490798
socks5,221.176.85.234,1080,China,CN,Guangzhou,elite,true,14.6,AS9808,China Mobile communications corporation,3234.08,1789516740.24642
http,36.152.150.243,8081,China,CN,Nanjing,elite,false,8.66,AS56046,China Mobile Communications Corporation,14337.83,1789516740.0633981
socks5,121.35.254.227,19000,China,CN,Shenzhen,elite,true,95.24,AS4134,China Telecom,6962.92,1789516734.8549073
http,27.185.218.213,17981,China,CN,Shijiazhuang,elite,true,97.42,AS134760,"Shijiazhuang IDC network, CHINANET Hebei province",1340.15,1789516732.1454828
socks5,111.206.4.163,18888,China,CN,Jinrongjie,elite,true,97.41,AS4808,China Unicom Beijing Province Network,1746.12,1789516730.4862006
http,61.186.243.6,9002,China,CN,Chongqing,elite,false,66.3,AS4134,Chinanet,2314.49,1789516724.8810983
http,36.111.205.239,6666,China,CN,Hangzhou,elite,false,14.01,AS63835,"No.293, Wanbao Avenue",14280.2,1789516724.7114851
socks5,166.111.189.38,29290,China,CN,Haidian,elite,true,89.68,AS4538,China Education and Research Network Center,2453.67,1789516717.955145
http,116.196.150.180,17981,China,CN,Hangzhou,elite,true,93.51,AS131516,JHWA,1644.03,1789516716.876812
http,125.122.35.253,8087,China,CN,Hangzhou,elite,true,97.05,AS58461,Chinanet,2114.81,1789516714.5801783
http,14.103.200.3,3128,China,CN,Beijing,transparent,true,24.45,AS137718,BITNET,10834.06,1789516713.2852967
http,119.188.131.55,17981,China,CN,Jinan,elite,true,87.68,AS4837,CNC Group CHINA169 Shandong Province Network,1182.73,1789516704.4721446
http,111.206.4.163,18888,China,CN,Jinrongjie,elite,true,97.06,AS4808,China Unicom Beijing Province Network,3961.24,1789516695.5328677
socks5,119.167.25.224,1081,China,CN,Jinan,elite,true,49.54,AS4837,CNC Group CHINA169 Shandong Province Network,8737.97,1789516692.3263881
http,223.85.21.195,8080,China,CN,Jinrongjie,elite,false,88.41,AS139080,China Mobile communications corporation,3143.04,1789516692.0567613
http,58.254.153.146,17981,China,CN,Shanwei,elite,false,95.71,AS136958,CNC Group CHINA169 Guangdong Province Network,1166.34,1789516685.1558146
http,47.95.206.224,45242,China,CN,Beijing,elite,false,5.12,AS37963,Hangzhou Alibaba Advertising Co,991.01,1789516678.786904
http,113.46.227.104,2388,China,CN,Guangzhou,transparent,false,30.8,AS55990,Huawei Cloud Service data center,8851.34,1789516656.168727
http,39.71.174.192,1088,China,CN,Jinan,elite,false,29.27,AS4837,China Unicom Shandong Province Network,11924.2,1789516619.7492201
