protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,122.246.4.6,17981,China,CN,Ningbo,elite,true,96.52,AS136188,China Telecom,1204.41,1784327996.8942058
http,113.249.101.105,18255,China,CN,Chongqing,elite,true,94.46,AS134420,Chongqing Telecom,1272.8,1784327996.3927376
http,114.94.148.37,18080,China,CN,Hangzhou,elite,true,86.34,AS4812,China Telecom (Group),715.9,1784327994.5379436
http,219.142.66.244,9090,China,CN,Beijing,transparent,true,97.24,AS4847,China Networks Inter-Exchange,1342.42,1784327988.5119479
http,183.201.114.49,17981,China,CN,Jinrongjie,elite,true,96.68,AS132510,China Mobile Communications Corporation,3575.0,1784327985.2082927
http,183.248.129.5,17981,China,CN,Hangzhou,elite,true,97.56,AS56041,China Mobile Communications Corporation,944.95,1784327982.373076
http,113.249.101.123,18255,China,CN,Chongqing,elite,true,90.42,AS134420,Chongqing Telecom,1579.99,1784327981.3335385
http,58.254.153.146,17981,China,CN,Shanwei,elite,true,98.27,AS136958,CNC Group CHINA169 Guangdong Province Network,1206.77,1784327981.250968
http,120.92.111.242,15010,China,CN,Beijing,transparent,true,90.71,AS59019,Beijing Kingsoft Cloud Internet Technology Co,807.9,1784327977.8686378
http,114.111.19.228,3389,China,CN,Beijing,elite,true,99.64,AS140903,China Telecom,1118.29,1784327976.5945795
http,116.211.236.110,17981,China,CN,Shizishan,elite,true,97.14,AS58563,CHINANET Hubei province network,1362.38,1784327976.4070716
http,113.250.183.70,18255,China,CN,Chongqing,elite,true,83.37,AS134420,Chongqing Telecom,2449.27,1784327974.775965
http,58.254.153.147,17981,China,CN,Shanwei,elite,true,98.64,AS136958,CNC Group CHINA169 Guangdong Province Network,1236.75,1784327973.953488
http,113.249.103.136,18255,China,CN,Chongqing,elite,true,93.27,AS134420,Chongqing Telecom,4662.0,1784327973.3032043
http,219.148.171.178,9445,China,CN,Hechi,transparent,true,90.07,AS4134,Chinanet,1130.51,1784327972.3973098
http,120.232.115.170,17981,China,CN,Guangzhou,elite,true,96.13,AS9808,China Mobile communications corporation,6958.13,1784327971.2340784
http,101.227.56.22,8118,China,CN,Shanghai,elite,true,18.46,AS4811,China Telecom (Group),6620.8,1784327970.834463
http,114.236.137.41,21000,China,CN,Nanjing,transparent,true,98.45,AS4134,Chinanet,1204.19,1784327969.239837
http,182.18.93.138,19450,China,CN,Zhangjiakou,elite,true,94.59,AS141771,China Telecom,5164.17,1784327968.3899245
http,123.138.24.114,8800,China,CN,Xi'an,elite,true,98.68,AS4837,CNC Group CHINA169 Shanni Province Network,940.34,1784327966.9927952
http,124.128.149.84,8090,China,CN,Jinan,transparent,true,64.59,AS4837,CHINA UNICOM China169 Backbone,3844.32,1784327958.4302368
http,59.36.239.108,21133,China,CN,Guangzhou,transparent,true,11.07,AS4134,Chinanet,5936.95,1784327955.6857245
http,223.254.141.102,6649,China,CN,Shenyang,elite,true,19.83,AS40004,"CONRADIT, LLC",1296.8,1784327951.0736816
http,113.46.227.104,2388,China,CN,Guangzhou,transparent,true,49.47,AS55990,Huawei Cloud Service data center,960.37,1784327946.268185
http,119.188.131.55,17981,China,CN,Jinan,elite,true,96.08,AS4837,CNC Group CHINA169 Shandong Province Network,864.92,1784327942.4435422
http,218.78.128.193,12366,China,CN,Shanghai,elite,true,95.84,AS4812,China Telecom (Group),3243.38,1784327941.625736
http,123.129.252.116,17981,China,CN,Beijing,elite,true,96.17,AS4837,CHINA UNICOM China169 Backbone,996.71,1784327937.3449492
http,219.151.185.208,18255,China,CN,Chongqing,elite,true,77.74,AS134420,Chongqing Telecom,2125.46,1784327936.7250333
http,101.89.150.168,3128,China,CN,Shanghai,transparent,true,87.27,AS4811,China Telecom (Group),6630.17,1784327930.2734842
http,58.220.83.56,18080,China,CN,Nanjing,transparent,true,43.89,AS137697,"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou, Jiangsu Province, P.",2182.09,1784327928.0078797
http,111.74.1.65,13382,China,CN,Taohua,elite,true,85.88,AS4134,Chinanet,6574.9,1784327921.66438
http,113.249.101.193,18255,China,CN,Chongqing,elite,true,77.66,AS134420,Chongqing Telecom,7846.54,1784327917.5938413
http,27.185.218.213,17981,China,CN,Shijiazhuang,elite,true,95.25,AS134760,"Shijiazhuang IDC network, CHINANET Hebei province",1442.31,1784327916.5803142
http,175.6.75.144,10064,China,CN,Shanghai,transparent,true,95.58,AS63835,"No.293, Wanbao Avenue",4387.37,1784327911.4608228
http,122.246.3.210,17981,China,CN,Ningbo,elite,true,96.93,AS136188,China Telecom,1273.6,1784327902.777747
http,113.249.101.171,18255,China,CN,Chongqing,elite,true,92.93,AS134420,Chongqing Telecom,3411.16,1784327879.8386788
http,122.246.3.12,17981,China,CN,Ningbo,elite,true,97.53,AS136188,China Telecom,8199.45,1784327874.237739
http,115.191.40.196,7890,China,CN,Beijing,elite,true,44.62,AS137718,GWBN-WUHAN's IP,1185.76,1784327867.8288887
