protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,117.50.194.130,7890,China,CN,Yangpu,elite,true,87.11,AS23724,UCLOUD,1206.62,1788530067.2389703
socks5,120.133.82.62,44200,China,CN,Chaowai,elite,true,1.44,AS133119,China Unicom IP network,12681.01,1788530055.7146094
socks5,111.206.4.163,18888,China,CN,Jinrongjie,elite,true,97.96,AS4808,China Unicom Beijing Province Network,1209.75,1788530050.412859
socks5,103.210.161.8,1080,China,CN,Guangzhou,elite,true,96.22,AS136958,China Unicom Guangdong IP network,6111.76,1788530046.7690475
socks5,123.112.120.208,1080,China,CN,Beijing,elite,true,47.8,AS4808,China Unicom Beijing Province Network,1345.5,1788530045.9056299
socks5,134.175.238.113,1080,China,CN,Guangzhou,elite,true,47.35,AS45090,Shenzhen Tencent Computer Systems Company Limited,2233.23,1788530038.5688493
socks5,110.240.249.224,1082,China,CN,Chengde,elite,true,76.8,AS4837,China Unicom Hebei Province Network,9544.54,1788530036.9870195
socks5,120.133.82.62,44038,China,CN,Chaowai,elite,true,1.69,AS133119,China Unicom IP network,3666.33,1788530032.48697
socks5,113.249.111.67,1080,China,CN,Chongqing,elite,true,98.62,AS134420,Chongqing Telecom,2080.71,1788530029.9738715
socks5,58.144.196.192,39105,China,CN,Chongqing,elite,true,28.44,AS4837,CNC Group CHINA169 Chongqing Province Network,1440.27,1788530023.6760998
socks5,120.133.82.62,44159,China,CN,Chaowai,elite,true,2.36,AS133119,China Unicom IP network,9689.81,1788530007.9444141
socks5,120.133.82.62,44196,China,CN,Chaowai,elite,true,1.77,AS133119,China Unicom IP network,13842.24,1788530000.513647
socks5,122.231.244.113,1080,China,CN,Hangzhou,elite,true,61.98,AS4134,Chinanet,27281.08,1788529985.832095
