protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,138.117.85.133,999,Colombia,CO,Paicol,transparent,false,26.95,AS265688,Sinergy Soluciones Integrales,1301.14,1786568336.0247753
socks5,201.184.165.91,1080,Colombia,CO,Medellín,elite,true,51.5,AS13489,EPM Telecomunicaciones S.A. E.S.P.,8154.21,1786568333.417318
http,179.1.182.20,999,Colombia,CO,Aipe,transparent,false,19.67,AS18678,Internexa S.a. E.S.P,4032.78,1786568332.844817
http,8.243.167.50,999,Colombia,CO,Piojó,transparent,true,26.2,AS3356,CTL Colombia,3584.33,1786568332.647511
http,38.199.26.42,999,Colombia,CO,Armenia,transparent,false,19.23,AS272138,Cogent Communications,12443.4,1786568330.53624
socks4,177.253.136.162,5678,Colombia,CO,Medellín,elite,true,49.66,AS13489,EPM Telecomunicaciones S.A. E.S.P.,8061.96,1786568326.4849563
socks4,181.143.59.140,4153,Colombia,CO,Medellín,elite,true,17.51,AS13489,EPM Telecomunicaciones S.A. E.S.P.,3917.19,1786568325.9737692
http,8.243.163.40,999,Colombia,CO,Bogotá,transparent,false,27.79,AS3356,Cirion Technologies Solutions,649.15,1786568323.949766
http,38.199.66.10,999,Colombia,CO,Lebrija,transparent,false,24.67,AS273953,Cogent Communications,1564.68,1786568323.3061533
http,186.33.57.213,999,Colombia,CO,Magangué,transparent,true,34.34,AS52468,IFX Networks Argentina S.R.L,2729.08,1786568322.2330358
http,190.7.138.78,8080,Colombia,CO,Medellín,transparent,true,25.17,AS13489,EPM Telecomunicaciones S.A. E.S.P.,15106.59,1786568320.0543807
http,186.148.160.8,999,Colombia,CO,Bogotá,transparent,false,24.89,AS262186,TV AZTECA SUCURSAL COLOMBIA,3672.99,1786568318.389609
http,38.19.43.72,999,Colombia,CO,Pereira,transparent,true,39.42,AS270075,Super Redes,9086.37,1786568316.5649862
http,38.211.78.49,999,Colombia,CO,Florencia,transparent,false,7.28,AS270062,Cogent Communications,4189.82,1786568315.6532364
http,8.242.153.168,999,Colombia,CO,Tocancipá,transparent,false,15.58,AS3549,CTL Colombia,2709.81,1786568314.7437816
http,200.10.29.73,999,Colombia,CO,Villavicencio,transparent,false,38.07,AS270075,Super Redes S.A.S,5364.93,1786568310.988316
http,181.78.233.10,443,Colombia,CO,Pueblo Nuevo,transparent,false,18.91,AS52468,IFX Networks Argentina S.R.L,18869.69,1786568310.7362576
http,38.211.76.177,999,Colombia,CO,Florencia,transparent,false,25.98,AS270062,Cogent Communications,4135.77,1786568308.3145103
http,186.96.111.214,999,Colombia,CO,Bogotá,transparent,false,39.88,AS262186,TV AZTECA SUCURSAL COLOMBIA,4990.81,1786568306.5129387
http,181.119.86.179,999,Colombia,CO,Cañasgordas,transparent,false,9.04,AS52468,IFX Networks Argentina S.R.L,21703.4,1786568303.089422
http,190.60.37.147,999,Colombia,CO,Medellín,transparent,false,13.61,AS52468,Ufinet Panama S.A.,13426.32,1786568299.3449981
http,177.93.57.42,999,Colombia,CO,Simití,transparent,false,25.16,AS262186,TV AZTECA SUCURSAL COLOMBIA,5107.15,1786568297.9189951
http,190.107.23.150,8080,Colombia,CO,Ibague,transparent,false,33.05,AS27951,Media Commerce Partners S.A,7609.02,1786568296.7718
http,190.121.157.41,999,Colombia,CO,Chinácota,transparent,false,13.36,AS27951,Media Commerce Partners S.A,5555.66,1786568294.2468994
http,38.199.30.194,999,Colombia,CO,Cali,transparent,false,11.27,AS272137,Conexion Comercializacion De Servicios De Telecomunicaciones Empalmeria Y Construccion De Redes HFC Del SUR Colombia,6588.89,1786568291.8992062
http,38.211.76.193,999,Colombia,CO,Florencia,transparent,true,27.84,AS270062,Cogent Communications,1795.96,1786568289.9742656
http,190.60.47.62,999,Colombia,CO,Barranquilla,transparent,false,10.28,AS52468,Ufinet Panama S.A.,2671.88,1786568289.082952
http,38.199.67.10,999,Colombia,CO,Bogotá,transparent,false,26.43,AS273953,Cogent Communications,4912.09,1786568286.3048346
http,181.78.74.101,999,Colombia,CO,Montelíbano,transparent,false,10.56,AS52468,IFX Networks Argentina S.R.L,11002.8,1786568285.9941432
http,190.60.39.194,999,Colombia,CO,Bosconia,transparent,false,10.48,AS52468,Ufinet Panama S.A.,11209.84,1786568285.524839
http,38.10.240.130,3128,Colombia,CO,Cartagena,anonymous,true,28.88,AS273953,TV COLOMBIA DIGITAL SAS,1615.95,1786568285.5161479
http,200.116.198.222,9812,Colombia,CO,Manizales,elite,false,5.6,AS13489,UNE EPM TELECOMUNICACIONES S.A,19557.58,1786568283.980866
http,181.78.10.110,999,Colombia,CO,Puerto Parra,transparent,true,23.74,AS52468,Ufinet Panama S.A.,1606.53,1786568282.4687111
http,200.69.83.205,999,Colombia,CO,Bogotá,anonymous,false,13.7,AS262186,TV AZTECA SUCURSAL COLOMBIA,4152.48,1786568281.8831587
http,8.243.71.182,999,Colombia,CO,Bogotá,anonymous,false,25.94,AS3356,CTL Colombia,4076.19,1786568280.8506193
http,181.119.84.134,8080,Colombia,CO,Cali,transparent,false,20.27,AS52468,IFX Networks Argentina S.R.L,8607.58,1786568276.1046977
http,186.33.54.66,999,Colombia,CO,Valledupar,transparent,false,28.59,AS52468,Ufinet Panama S.A.,6414.83,1786568270.3195636
http,190.60.39.230,999,Colombia,CO,San Alberto,transparent,false,9.84,AS52468,Ufinet Panama S.A.,5265.52,1786568266.5862122
http,200.69.83.203,999,Colombia,CO,Bogotá,anonymous,false,16.28,AS262186,TV AZTECA SUCURSAL COLOMBIA,2182.46,1786568265.8641927
http,179.1.209.73,8080,Colombia,CO,Pereira,transparent,false,10.6,AS18678,Internexa S.a. E.S.P,14026.77,1786568265.5689685
http,181.119.64.21,999,Colombia,CO,Suárez,transparent,false,23.25,AS52468,IFX Networks Argentina S.R.L,7588.07,1786568263.3630478
http,181.78.208.227,999,Colombia,CO,Bogotá,transparent,false,23.47,AS52468,IFX Networks Argentina S.R.L,3053.12,1786568262.3124359
http,38.191.208.41,999,Colombia,CO,Bucaramanga,transparent,false,31.71,AS273131,Netslink SAS,18032.35,1786568249.320855
http,181.78.82.211,999,Colombia,CO,Bogotá,transparent,false,14.82,AS52468,IFX Networks Argentina S.R.L,6291.8,1786568248.617878
http,181.119.84.219,8080,Colombia,CO,Cali,transparent,false,10.35,AS52468,IFX Networks Argentina S.R.L,2891.94,1786568243.961175
http,179.1.236.18,999,Colombia,CO,Santa Rosa del Sur,transparent,false,16.2,AS18678,Internexa S.a. E.S.P,10793.83,1786568235.9087982
http,190.60.60.37,8080,Colombia,CO,Barranquilla,transparent,false,28.24,AS52468,Ufinet Panama S.A.,13070.53,1786568235.2637193
http,64.204.90.17,999,Colombia,CO,Río de Oro,transparent,false,39.02,AS273894,GTT Americas,11698.59,1786568231.4182584
http,24.152.58.22,999,Colombia,CO,Bucaramanga,transparent,false,12.66,AS267823,Atenea Telecomunicaciones,7612.43,1786568225.6812637
http,190.216.132.225,8080,Colombia,CO,Bogotá,transparent,true,13.7,AS272953,Level 3 Colombia S.A,7075.36,1786568209.3207808
http,186.33.54.198,999,Colombia,CO,Santa Marta,transparent,false,15.22,AS52468,Ufinet Panama S.A.,7934.19,1786568208.4449196
http,24.152.58.108,999,Colombia,CO,Bucaramanga,transparent,false,14.72,AS267823,Atenea Telecomunicaciones,5368.03,1786568202.3722253
http,170.254.228.90,999,Colombia,CO,Zipaquirá,transparent,false,33.17,AS27951,Media Commerce Partners S.A,9047.63,1786568177.1049113
http,8.243.175.14,999,Colombia,CO,Toribío,transparent,false,26.26,AS3356,Cirion Technologies Solutions,2003.9,1786568168.4767323
http,190.60.48.136,999,Colombia,CO,Soacha,transparent,false,11.7,AS52468,IFX NETWORKS COLOMBIA,7037.11,1786568151.707925
