protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.78.17.131,999,Colombia,CO,Andalucía,transparent,true,38.94,AS52468,IFX Networks Argentina S.R.L,4329.42,1785122380.0479326
http,179.1.113.129,999,Colombia,CO,Popayán,transparent,true,69.79,AS18678,Internexa S.a. E.S.P,2441.89,1785122378.135248
http,190.107.23.150,8080,Colombia,CO,Ibague,transparent,true,37.04,AS27951,Media Commerce Partners S.A,8982.19,1785122368.675693
http,190.60.37.146,999,Colombia,CO,Medellín,transparent,true,12.61,AS52468,IFX NETWORKS COLOMBIA,8316.58,1785122365.8702836
http,181.78.79.11,999,Colombia,CO,Sabana de Torres,transparent,false,31.08,AS52468,IFX Networks Argentina S.R.L,3041.94,1785122360.7587953
http,190.14.224.244,999,Colombia,CO,Candelaria,transparent,false,17.42,AS27951,Media Commerce Partners S.A,11712.5,1785122360.0238078
http,200.110.171.22,999,Colombia,CO,Pereira,transparent,false,30.8,AS27951,Media Commerce Partners S.A,10495.67,1785122357.0398493
http,8.243.167.50,999,Colombia,CO,Piojó,transparent,false,26.21,AS3356,CTL Colombia,9731.21,1785122356.5036407
http,38.19.40.9,8083,Colombia,CO,Pereira,transparent,false,56.5,AS270075,Super Redes,1634.96,1785122356.3860393
http,38.19.41.228,999,Colombia,CO,Pereira,transparent,false,21.66,AS270075,Super Redes,8924.81,1785122347.679866
http,181.225.73.98,999,Colombia,CO,Bogotá,transparent,false,13.6,AS27951,Media Commerce Partners S.A,5283.12,1785122337.057438
http,200.118.237.227,999,Colombia,CO,Montería,transparent,false,29.33,AS14080,Telmex Colombia S.A.,8652.7,1785122333.697782
http,38.191.212.115,999,Colombia,CO,Cúcuta,transparent,false,31.2,AS273103,TV&MÁS S.A.S,13130.21,1785122323.3409584
http,181.79.80.181,999,Colombia,CO,Medellín,transparent,false,12.18,AS52468,IFX Networks Argentina S.R.L,2386.1,1785122315.6544316
http,38.211.76.203,999,Colombia,CO,Florencia,transparent,false,40.92,AS270062,Cogent Communications,7798.08,1785122313.3039272
http,38.51.243.209,999,Colombia,CO,Túquerres,transparent,false,29.83,AS272869,Intercomm de Narino,4218.51,1785122312.2638822
http,191.97.15.92,11201,Colombia,CO,Bogotá,transparent,false,28.37,AS262186,TV AZTECA SUCURSAL COLOMBIA,2943.52,1785122295.2763617
http,38.211.76.145,999,Colombia,CO,Florencia,transparent,false,25.3,AS270062,Cogent Communications,4284.88,1785122289.4243476
http,181.119.84.122,8080,Colombia,CO,Cali,transparent,false,26.39,AS52468,IFX Networks Argentina S.R.L,8494.35,1785122286.8038933
http,190.60.59.111,999,Colombia,CO,Remedios,transparent,false,32.6,AS52468,IFX NETWORKS COLOMBIA,9813.34,1785122283.067891
http,8.243.68.187,999,Colombia,CO,Dagua,transparent,true,26.81,AS3356,CTL Colombia,8458.67,1785122282.7410872
http,181.78.169.74,999,Colombia,CO,Bogotá,transparent,false,33.2,AS52468,Ufinet Panama S.A.,1383.46,1785122270.5520606
http,181.63.33.136,8080,Colombia,CO,Manizales,transparent,true,24.35,AS14080,Telmex Colombia S.A.,2550.37,1785122268.7032323
http,190.60.39.226,999,Colombia,CO,San Alberto,transparent,true,12.13,AS52468,IFX NETWORKS COLOMBIA,13844.28,1785122266.5239964
http,38.191.146.219,999,Colombia,CO,Cali,transparent,false,35.21,AS273132,Valle ISP,11003.56,1785122259.387826
http,38.199.67.10,999,Colombia,CO,Bogotá,transparent,false,26.38,AS273953,Cogent Communications,10529.15,1785122245.3118439
http,190.131.198.77,999,Colombia,CO,Neiva,transparent,false,23.2,AS262191,Liberty Networks De Colombia S.A.S,5189.01,1785122244.2798436
http,177.73.155.247,999,Colombia,CO,Caldono,transparent,false,14.67,AS264646,Dobleclick Software E Ingeneria,10408.34,1785122244.267842
http,186.96.111.214,999,Colombia,CO,Bogotá,transparent,true,38.54,AS262186,TV AZTECA SUCURSAL COLOMBIA,12387.91,1785122233.4447837
http,38.10.240.130,3128,Colombia,CO,Cartagena,anonymous,false,30.76,AS273953,TV COLOMBIA DIGITAL SAS,6470.91,1785122229.4472039
http,190.109.6.121,999,Colombia,CO,Bogotá,transparent,false,16.23,AS262191,Liberty Networks De Colombia,7908.58,1785122226.5086274
http,181.129.252.124,999,Colombia,CO,Cali,transparent,false,27.51,AS13489,EPM Telecomunicaciones S.A. E.S.P.,6163.55,1785122225.0321202
http,181.204.193.174,999,Colombia,CO,Santa Marta,transparent,false,35.76,AS27831,EPM Telecomunicaciones S.A. E.S.P.,5709.85,1785122223.5327106
http,181.204.44.10,999,Colombia,CO,Bucaramanga,transparent,false,28.3,AS27831,EPM Telecomunicaciones S.A. E.S.P.,9245.88,1785122179.7230947
http,179.1.236.18,999,Colombia,CO,Santa Rosa del Sur,transparent,false,15.72,AS18678,Internexa S.a. E.S.P,6424.04,1785122146.642314
http,45.167.124.33,999,Colombia,CO,Popayán,transparent,false,33.83,AS269804,Sepcom Comunicaciones SAS,5876.46,1785122377.1968608
http,38.211.78.49,999,Colombia,CO,Florencia,transparent,false,7.64,AS270062,Cogent Communications,9902.34,1785122322.8793054
http,45.179.200.38,999,Colombia,CO,Bogotá,transparent,false,33.66,AS267919,NET&COM LTDA.,1450.05,1785122319.379814
http,45.167.124.136,999,Colombia,CO,Popayán,transparent,true,34.2,AS269804,Sepcom Comunicaciones SAS,5680.52,1785122313.9039555
http,45.167.126.42,999,Colombia,CO,Popayán,transparent,false,19.74,AS269804,Sepcom Comunicaciones SAS,5037.79,1785122309.4132445
