protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,186.97.192.59,999,Colombia,CO,Medellín,transparent,true,29.3,AS13489,EPM Telecomunicaciones S.A. E.S.P.,2534.91,1787165364.6443734
http,179.1.126.45,999,Colombia,CO,Quibdó,transparent,true,13.24,AS18678,Internexa S.a. E.S.P,4735.68,1787165346.4281175
http,181.119.84.104,999,Colombia,CO,Cali,anonymous,true,88.74,AS52468,IFX Networks Argentina S.R.L,636.17,1787165345.4599156
http,177.73.155.246,999,Colombia,CO,Piendamo,transparent,true,13.93,AS264646,Dobleclick Software E Ingeneria,5888.3,1787165344.528766
http,38.191.194.245,999,Colombia,CO,Cali,transparent,true,9.97,AS273103,TV&MÁS S.A.S,11015.66,1787165342.4780562
http,38.191.204.103,999,Colombia,CO,Granada,transparent,true,6.6,AS273134,Hola Telecomunicacines Colombia S.A.S,1791.34,1787165340.6020405
http,190.217.17.10,999,Colombia,CO,Bogotá,transparent,true,33.92,AS3549,Level 3 Colombia S.A,3598.5,1787165340.3888752
http,181.78.208.227,999,Colombia,CO,Bogotá,transparent,true,23.31,AS52468,Ufinet Panama S.A.,1812.1,1787165340.3782525
http,38.191.203.229,9992,Colombia,CO,Puerto Gaitán,transparent,true,20.79,AS273134,Hola Telecomunicacines Colombia S.A.S,3904.23,1787165338.62478
http,181.78.175.66,999,Colombia,CO,Bogotá,transparent,true,29.15,AS52468,Ufinet Panama S.A.,4493.71,1787165337.305578
http,179.1.236.18,999,Colombia,CO,Santa Rosa del Sur,transparent,true,16.41,AS18678,Internexa S.a. E.S.P,11751.08,1787165337.235455
http,190.2.214.66,999,Colombia,CO,Puerto Gaitán,transparent,true,30.17,AS262186,TV AZTECA SUCURSAL COLOMBIA,8801.09,1787165335.5898013
http,186.31.135.201,999,Colombia,CO,Bogotá,transparent,true,44.14,AS19429,ETB - Colombia,12640.42,1787165334.8726945
http,186.33.54.244,999,Colombia,CO,Santa Marta,transparent,true,14.26,AS52468,Ufinet Panama S.A.,532.31,1787165328.3295977
http,181.78.75.84,8080,Colombia,CO,La Pintada,transparent,true,29.09,AS52468,Ufinet Panama S.A.,7628.33,1787165320.8662522
http,181.204.193.171,999,Colombia,CO,Santa Marta,transparent,true,28.51,AS13489,EPM Telecomunicaciones S.A. E.S.P.,1622.33,1787165295.2716513
http,38.199.66.10,999,Colombia,CO,Lebrija,transparent,true,24.32,AS273953,Cogent Communications,1558.98,1787165271.959781
http,8.243.73.67,8080,Colombia,CO,San Alberto,transparent,true,27.92,AS3356,CTL Colombia,7478.23,1787165258.6851022
http,138.121.15.230,999,Colombia,CO,Cartagena,transparent,true,11.61,AS262191,Liberty Networks De Colombia,1392.35,1787165257.1914494
http,170.239.205.31,999,Colombia,CO,Chigorodó,transparent,true,24.18,AS265629,FIBERNET,3913.14,1787165223.6282232
http,190.99.192.158,999,Colombia,CO,Cali,transparent,true,13.95,AS10299,Empresas Municipales De Cali E.i.c.e. E.S.P.,6029.12,1787165220.4876554
http,181.119.86.181,999,Colombia,CO,Ciénaga de Oro,transparent,true,8.68,AS52468,IFX Networks Argentina S.R.L,4582.57,1787165182.996887
http,38.199.31.148,9992,Colombia,CO,Calarcá,transparent,true,30.98,AS272137,Conexion Comercializacion De Servicios De Telecomunicaciones Empalmeria Y Construccion De Redes HFC Del SUR Colombia,2395.13,1787165352.337106
http,200.116.198.222,9812,Colombia,CO,Manizales,elite,true,5.61,AS13489,UNE EPM TELECOMUNICACIONES S.A,6170.97,1787165305.1123796
