protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,181.204.4.74,5678,Colombia,CO,Cartagena,elite,true,15.65,AS27831,EPM Telecomunicaciones S.A. E.S.P.,836.74,1784932748.8748677
socks4,177.253.136.162,5678,Colombia,CO,Medellín,elite,true,54.01,AS27831,Colombia Móvil,940.59,1784932746.4932003
socks4,186.1.182.194,4153,Colombia,CO,Santa Marta,elite,true,51.26,AS27837,Dialnet de Colombia S.A. E.S.P,1801.76,1784932744.907015
socks4,181.205.113.218,1080,Colombia,CO,Medellín,elite,true,56.98,AS27831,Colombia Móvil,1972.3,1784932744.3810956
socks4,190.144.224.182,44550,Colombia,CO,Itagüí,elite,true,18.1,AS14080,Telmex Colombia S.A.,716.69,1784932743.4328258
socks4,181.143.59.140,4153,Colombia,CO,Medellín,elite,true,16.19,AS13489,EPM Telecomunicaciones S.A. E.S.P.,2163.8,1784932740.387539
socks4,181.49.22.141,1080,Colombia,CO,Bogotá,elite,true,47.21,AS14080,Telmex Colombia S.A.,3914.73,1784932732.6536493
socks4,181.204.39.202,53740,Colombia,CO,Bucaramanga,elite,true,50.97,AS27831,Colombia Móvil,3926.76,1784932731.3093774
socks4,190.145.54.142,1080,Colombia,CO,Bogotá,elite,true,58.71,AS14080,Telmex Colombia S.A.,751.42,1784932731.2668471
socks4,201.184.177.10,4153,Colombia,CO,Envigado,elite,true,33.25,AS13489,EPM Telecomunicaciones S.A. E.S.P.,8108.7,1784932716.9428484
