protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,78.111.112.118,4145,Czechia,CZ,Kryry,elite,true,38.08,AS47232,ISP Alliance a.s.,1157.93,1786498762.3796399
socks4,85.132.139.45,4153,Czechia,CZ,Slavkov u Brna,elite,true,41.47,AS205400,GIN's network,3115.0,1786498761.352937
socks4,109.69.211.18,1080,Czechia,CZ,Přerov,elite,true,56.29,AS196815,LAN servis s.r.o,363.68,1786498759.6758485
socks4,90.178.216.215,4153,Czechia,CZ,Prague,elite,true,36.48,AS5610,"Telefonica O2 Czech Republic, a.s.",1168.59,1786498737.3968365
http,185.73.103.23,3128,Czechia,CZ,Karlovy Vary,transparent,false,8.43,AS201476,ISP Alliance a.s.,6335.37,1786498736.6131272
http,90.181.120.18,8082,Czechia,CZ,Pilsen,transparent,false,28.84,AS5610,"Telefonica O2 Czech Republic, a.s.",4506.35,1786498719.9007726
http,95.129.101.73,80,Czechia,CZ,Brno,elite,false,66.91,AS24641,FASTER CZ spol. s r.o.,5196.38,1786498706.6762655
http,147.231.163.133,80,Czechia,CZ,Třeboň,anonymous,false,85.58,AS2852,CESNET z.s.p.o.,1050.38,1786498692.766116
http,77.240.97.77,8080,Czechia,CZ,Dobříš,transparent,false,24.07,AS42189,DOBRISNET,3761.71,1786498660.331857
http,185.248.179.99,8080,Czechia,CZ,Prague,elite,false,61.03,AS48574,T-Mobile Czech Republic a.s.,8713.08,1786498655.2727566
