protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,81.200.155.224,1080,Germany,DE,Frankfurt am Main,elite,true,79.72,AS210976,"Timeweb, LLP",393.71,1788411572.7401567
socks4,138.201.37.92,40001,Germany,DE,Falkenstein,elite,true,62.82,AS24940,Hetzner Online GmbH,39.95,1788411572.0840006
socks5,45.133.251.223,1080,Germany,DE,Frankfurt Am Main,elite,true,34.99,AS215439,PLAY2GO LTD,338.38,1788411571.8626683
socks5,138.124.10.104,443,Germany,DE,Frankfurt Am Main,elite,true,29.52,AS41745,Baykov Ilya Sergeevich,1088.68,1788411571.128109
socks5,5.75.133.113,10811,Germany,DE,Nuremberg,elite,true,87.91,AS24940,Hetzner Online GmbH,794.58,1788411570.0549598
socks5,152.89.104.11,1080,Germany,DE,Nuremberg,elite,true,61.16,AS197540,netcup GmbH,1061.94,1788411569.244541
socks4,150.241.105.252,1080,Germany,DE,Frankfurt am Main,elite,true,24.33,AS213877,U1 DIGITAL SERVICES LTD,137.74,1788411568.7067215
socks5,5.231.45.243,9096,Germany,DE,Frankfurt am Main,elite,true,73.43,AS214902,Philip Fjaera trading as PFWeb Solutions,287.45,1788411568.03393
socks4,2.26.112.72,1080,Germany,DE,Frankfurt am Main,elite,true,25.74,AS213877,U1 DIGITAL SERVICES LTD,666.42,1788411567.7687042
socks5,167.86.79.35,1080,Germany,DE,Nuremberg,elite,true,56.81,AS51167,Contabo GmbH,481.23,1788411567.4925177
socks4,31.76.64.74,1080,Germany,DE,Frankfurt am Main,elite,true,100.0,AS207957,SERV.HOST GROUP LTD,2813.11,1788411567.1420903
socks5,45.74.31.42,9055,Germany,DE,Frankfurt am Main,elite,true,12.47,AS9009,Secure Internet LLC,607.97,1788411566.570755
socks5,147.45.66.116,1082,Germany,DE,Frankfurt am Main,elite,true,54.94,AS215540,Global Connectivity Solutions LLP,3311.85,1788411565.9865654
socks5,209.38.214.48,1080,Germany,DE,Frankfurt am Main,elite,true,44.03,AS14061,"DigitalOcean, LLC",840.48,1788411565.7392216
socks5,185.133.239.244,32784,Germany,DE,Erfurt,elite,true,47.22,AS202252,OCKNet GmbH,5561.58,1788411564.4447105
socks4,138.124.10.104,443,Germany,DE,Frankfurt Am Main,elite,true,34.36,AS41745,Baykov Ilya Sergeevich,7202.9,1788411564.2409117
socks5,153.80.242.105,8080,Germany,DE,Frankfurt am Main,elite,true,38.64,AS215540,Global Connectivity Solutions LLP,3718.02,1788411563.4105911
socks4,5.231.45.243,9094,Germany,DE,Frankfurt am Main,elite,true,56.15,AS214902,Philip Fjaera trading as PFWeb Solutions,1050.5,1788411562.2563167
socks5,45.74.31.42,13096,Germany,DE,Frankfurt am Main,elite,true,24.13,AS9009,Secure Internet LLC,7818.01,1788411562.1070037
socks4,45.133.251.223,1080,Germany,DE,Frankfurt Am Main,elite,true,37.26,AS215439,PLAY2GO LTD,1749.61,1788411561.8131838
socks4,72.56.106.48,1080,Germany,DE,Frankfurt am Main,elite,true,38.81,AS210976,"Timeweb, LLP",410.33,1788411561.5609565
socks5,49.13.22.249,10811,Germany,DE,Falkenstein,elite,true,89.25,AS24940,Hetzner Online GmbH,133.98,1788411561.1003587
http,165.227.169.229,3080,Germany,DE,Frankfurt am Main,transparent,true,14.8,AS14061,"DigitalOcean, LLC",2774.02,1788411560.9875891
socks4,94.156.114.45,1080,Germany,DE,Frankfurt am Main,elite,true,17.72,AS215439,Play2go International Limited,457.74,1788411560.7276814
socks4,5.231.45.243,9096,Germany,DE,Frankfurt am Main,elite,true,70.06,AS214902,Philip Fjaera trading as PFWeb Solutions,6136.88,1788411560.7031875
http,80.74.54.148,3128,Germany,DE,Viersen,anonymous,false,87.03,AS60294,Deutsche Glasfaser Wholesale GmbH,35.46,1788411560.0689964
socks5,45.74.31.42,4903,Germany,DE,Frankfurt am Main,elite,true,25.5,AS9009,Secure Internet LLC,2847.4,1788411560.0502508
socks5,77.239.106.24,1080,Germany,DE,Frankfurt am Main,elite,true,94.07,AS210546,Chsl ONE LTD,2990.72,1788411559.697238
http,116.202.172.187,11000,Germany,DE,Falkenstein,elite,true,99.91,AS24940,Hetzner Online GmbH,36.76,1788411559.6531043
socks4,153.80.242.105,8080,Germany,DE,Frankfurt am Main,elite,true,40.81,AS215540,Global Connectivity Solutions LLP,309.3,1788411559.0380945
socks5,193.233.86.198,1080,Germany,DE,Frankfurt am Main,elite,true,39.95,AS210546,Chsl ONE LTD,7804.58,1788411558.9523776
socks4,209.38.214.48,1080,Germany,DE,Frankfurt am Main,elite,true,51.7,AS14061,"DigitalOcean, LLC",478.16,1788411558.810207
socks4,185.108.76.197,9050,Germany,DE,Berlin,elite,true,13.63,AS206028,Infra1 Managed-services,779.7,1788411558.706055
socks5,5.75.133.113,10801,Germany,DE,Nuremberg,elite,true,87.05,AS24940,Hetzner Online GmbH,2295.37,1788411558.1267958
socks4,150.241.108.239,1080,Germany,DE,Frankfurt am Main,elite,true,46.87,AS213877,U1 DIGITAL SERVICES LTD,67.32,1788411558.023695
socks5,45.74.31.30,4119,Germany,DE,Frankfurt am Main,elite,true,25.52,AS9009,Secure Internet LLC,5805.58,1788411557.9909675
socks5,185.121.133.250,1080,Germany,DE,Frankfurt am Main,elite,true,16.71,AS51202,NUXOA GmbH,4221.35,1788411557.7238462
socks5,45.144.54.40,1080,Germany,DE,Frankfurt am Main,elite,true,95.63,AS210644,Aeza International LTD,70.37,1788411557.3568318
socks4,185.204.170.179,1125,Germany,DE,Frankfurt am Main,elite,true,63.96,AS57568,Arvancloud Global Technologies L.L.C,11201.78,1788411557.2836263
http,141.98.153.86,80,Germany,DE,Karlsruhe,elite,false,86.03,AS51167,Contabo GmbH,136.35,1788411556.719603
socks4,150.241.71.85,1080,Germany,DE,Frankfurt Am Main,elite,true,66.96,AS210644,xorek.cloud International LTD,10995.47,1788411555.5728188
socks4,213.165.43.73,46650,Germany,DE,Frankfurt am Main,elite,true,37.15,AS210644,Aeza International LTD,7397.9,1788411555.3288355
socks4,2.26.117.22,1083,Germany,DE,Frankfurt am Main,elite,true,64.63,AS206134,Nekobyte International Limited,14055.9,1788411553.3914661
socks5,45.74.31.30,18265,Germany,DE,Frankfurt am Main,elite,true,32.55,AS9009,Secure Internet LLC,1108.3,1788411552.7540567
socks4,91.107.254.246,9097,Germany,DE,Frankfurt Am Main,elite,true,42.63,AS24940,Hetzner Online AG,12296.73,1788411552.5427985
socks5,217.60.245.29,4080,Germany,DE,Frankfurt am Main,elite,true,31.92,AS201279,Loginov Vladislav,1940.56,1788411552.3680892
socks4,91.107.243.254,9094,Germany,DE,Frankfurt Am Main,elite,true,43.09,AS24940,Hetzner Online AG,12433.53,1788411552.1857696
socks5,185.204.170.179,1142,Germany,DE,Frankfurt am Main,elite,true,59.33,AS57568,Arvancloud Global Technologies L.L.C,13446.36,1788411552.1110446
http,193.233.86.198,8080,Germany,DE,Frankfurt am Main,elite,true,25.34,AS210546,Chsl ONE LTD,8145.83,1788411551.3286366
socks4,185.204.170.179,1142,Germany,DE,Frankfurt am Main,elite,true,62.15,AS57568,Arvancloud Global Technologies L.L.C,10584.73,1788411551.2431355
socks4,193.158.12.141,4153,Germany,DE,Berlin,elite,true,40.72,AS3320,Deutsche Telekom AG,81.8,1788411551.2305565
socks4,89.163.206.215,9050,Germany,DE,Düsseldorf,elite,true,23.69,AS24961,WIIT AG,2360.09,1788411550.492128
socks5,45.74.31.42,4224,Germany,DE,Frankfurt am Main,elite,true,41.53,AS9009,Secure Internet LLC,7222.11,1788411548.0960298
socks5,89.163.135.20,8236,Germany,DE,Frankfurt am Main,elite,true,54.84,AS24961,WIIT AG,11098.35,1788411546.881546
socks5,45.74.31.30,39537,Germany,DE,Frankfurt am Main,elite,true,12.7,AS9009,Secure Internet LLC,9901.93,1788411546.2000308
socks4,185.204.170.179,1147,Germany,DE,Frankfurt am Main,elite,true,63.32,AS57568,Arvancloud Global Technologies L.L.C,24875.12,1788411545.5680122
socks5,45.74.31.42,10373,Germany,DE,Frankfurt am Main,elite,true,19.34,AS9009,Secure Internet LLC,4411.85,1788411544.6616218
socks5,91.107.243.254,9094,Germany,DE,Frankfurt Am Main,elite,true,44.72,AS24940,Hetzner Online AG,18863.62,1788411544.0866847
socks5,185.204.170.179,1109,Germany,DE,Frankfurt am Main,elite,true,56.5,AS57568,Arvancloud Global Technologies L.L.C,8721.53,1788411543.8807476
socks4,159.195.62.125,9050,Germany,DE,Nuremberg,elite,true,25.69,AS197540,netcup GmbH,9632.76,1788411543.6490014
socks5,45.95.2.232,2080,Germany,DE,Frankfurt Am Main,elite,true,21.26,AS41745,Baykov Ilya Sergeevich,3658.57,1788411543.609482
socks5,45.74.31.30,33110,Germany,DE,Frankfurt am Main,elite,true,35.48,AS9009,Secure Internet LLC,5705.84,1788411543.5720587
socks5,138.201.37.92,40001,Germany,DE,Falkenstein,elite,true,71.23,AS24940,Hetzner Online GmbH,55.38,1788411543.4491608
socks5,49.13.22.249,10808,Germany,DE,Falkenstein,elite,true,88.18,AS24940,Hetzner Online GmbH,447.05,1788411543.4016106
socks5,5.231.45.243,9094,Germany,DE,Frankfurt am Main,elite,true,64.13,AS214902,Philip Fjaera trading as PFWeb Solutions,124.02,1788411543.0446513
http,144.31.194.75,3128,Germany,DE,Frankfurt am Main,transparent,true,33.72,AS210546,Chsl ONE LTD,7848.56,1788411542.767477
socks5,81.200.155.224,1080,Germany,DE,Frankfurt am Main,elite,true,80.55,AS210976,"Timeweb, LLP",70.76,1788411542.7360291
