protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,144.31.118.56,3128,Germany,DE,Frankfurt am Main,elite,true,14.52,AS213520,Senko Digital LLC,24.39,1789423799.7267933
http,141.98.153.86,80,Germany,DE,Karlsruhe,elite,false,86.37,AS51167,Contabo GmbH,226.23,1789423797.699514
http,152.53.183.107,8081,Germany,DE,Nuremberg,elite,true,97.18,AS197540,netcup GmbH,259.92,1789423797.570765
http,2.27.63.250,8888,Germany,DE,Frankfurt am Main,elite,true,52.21,AS210457,Kyonix Networks Limited,48.39,1789423793.282537
http,47.91.65.23,3128,Germany,DE,Frankfurt am Main,elite,true,76.28,AS45102,Alibaba.com LLC,17.26,1789423783.7837126
http,103.237.102.191,11111,Germany,DE,Frankfurt am Main,elite,true,98.83,AS62610,Zenlayer Inc,20.36,1789423779.5948892
http,45.13.225.169,8087,Germany,DE,Frankfurt am Main,elite,true,40.56,AS58087,Florian Kolb,5387.69,1789423778.0179808
http,158.180.19.230,1080,Germany,DE,Frankfurt am Main,elite,true,25.32,AS31898,Oracle Corporation,3292.69,1789423775.1265604
http,45.13.225.169,8086,Germany,DE,Frankfurt am Main,elite,true,67.42,AS58087,Florian Kolb,3097.82,1789423775.1097455
http,31.76.12.115,3128,Germany,DE,Frankfurt am Main,transparent,true,35.55,AS215590,DpkgSoft International Limited,11609.78,1789423774.0769846
http,150.241.71.85,3128,Germany,DE,Frankfurt Am Main,elite,false,68.32,AS210644,xorek.cloud International LTD,17476.13,1789423765.5851834
http,54.37.74.255,3128,Germany,DE,Saarbrücken,transparent,true,34.74,AS16276,OVH SAS,8840.35,1789423757.1724935
http,152.53.183.107,8082,Germany,DE,Nuremberg,elite,true,65.51,AS197540,netcup GmbH,268.19,1789423740.6381757
http,80.74.54.148,3128,Germany,DE,Sonsbeck,anonymous,false,87.7,AS60294,Deutsche Glasfaser Wholesale GmbH,5973.33,1789423733.2762175
http,45.13.225.169,8082,Germany,DE,Frankfurt am Main,elite,true,35.58,AS58087,Florian Kolb,2126.11,1789423730.7600067
http,144.31.116.142,3128,Germany,DE,Frankfurt am Main,elite,true,14.23,AS213520,Senko Digital LLC,17.28,1789423726.2300756
http,159.195.194.242,8080,Germany,DE,Nuremberg,elite,true,66.16,AS197540,netcup GmbH,4221.54,1789423724.7975435
http,193.233.74.146,1080,Germany,DE,Frankfurt am Main,elite,false,20.22,AS215540,Global Connectivity Solutions LLP,14.46,1789423645.5029094
http,185.166.196.14,3128,Germany,DE,Frankfurt am Main,elite,false,22.64,AS210976,"Timeweb, LLP",7865.28,1789423643.7128584
http,212.227.182.100,110,Germany,DE,Karlsruhe,transparent,false,22.38,AS8560,IONOS SE,11805.02,1789423629.2784948
