protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.214.29.6,999,Dominican Republic,DO,Santo Domingo,transparent,true,30.46,AS271799,"TELERY NETWORKS, S.R.L",7612.97,1784244545.6408634
http,38.156.233.220,999,Dominican Republic,DO,Santo Domingo Este,transparent,false,17.35,AS272882,"BITNET DOMINICANA, S.R.L",2365.8,1784244536.8949292
http,38.224.150.84,999,Dominican Republic,DO,Los Alcarrizos,transparent,false,14.66,AS273864,Aaronka Dominicana SRL,4334.1,1784244534.6515439
http,38.253.95.80,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,20.94,AS272027,Cogent Communications,3818.29,1784244534.1099107
http,38.156.23.108,999,Dominican Republic,DO,Puerto Plata,transparent,true,15.74,AS64134,Visnetwork SRL,2643.65,1784244525.5566695
http,170.80.202.216,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,false,6.63,AS271819,"RUDDY GONZALEZ DIGITAL MEDIA DOMINICANA, RGDIMAX, S.R.L",1621.43,1784244523.9753668
http,38.50.165.124,999,Dominican Republic,DO,El Pino,transparent,true,35.74,AS273009,"NEXTELECOM, S.R.L",4369.77,1784244519.3841593
http,186.6.33.214,999,Dominican Republic,DO,Santo Domingo,transparent,true,32.3,AS6400,Compañía Dominicana de Teléfonos S. A.,3205.53,1784244514.8958669
http,38.50.165.125,999,Dominican Republic,DO,El Pino,transparent,true,36.64,AS273009,"NEXTELECOM, S.R.L",3907.51,1784244492.6850893
http,38.75.82.210,999,Dominican Republic,DO,Santo Domingo,transparent,false,24.33,AS273217,Cogent Communications,5275.2,1784244485.5344055
http,38.253.85.3,999,Dominican Republic,DO,Maimón,transparent,false,16.96,AS273048,Cogent Communications,16584.09,1784244476.6088398
http,190.94.102.251,999,Dominican Republic,DO,Santo Domingo,transparent,true,27.11,AS28118,Altice Dominicana S.A.,1992.6,1784244450.465932
http,38.75.82.222,999,Dominican Republic,DO,Santo Domingo,transparent,false,24.51,AS273217,Cogent Communications,1941.03,1784244405.7072668
http,38.156.23.169,999,Dominican Republic,DO,Puerto Plata,transparent,false,7.8,AS64134,Visnetwork SRL,7344.84,1784244382.3762302
http,181.37.240.89,999,Dominican Republic,DO,Bonao,transparent,false,11.78,AS28118,Altice Dominicana S.A.,4367.2,1784244357.675792
http,149.2.82.178,999,Dominican Republic,DO,Santo Domingo,transparent,true,41.77,AS272112,"TELECABLE DOMINICANO, S.A.",663.22,1784244601.9039807
http,38.75.82.211,999,Dominican Republic,DO,Santo Domingo,transparent,false,23.8,AS273217,Cogent Communications,2563.27,1784244592.3030121
http,38.159.37.173,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,12.4,AS271965,Orbitek SRL,9766.9,1784244583.2991178
http,45.176.99.58,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,75.45,AS267846,"Cable Onda Oriental, SRL",385.81,1784244583.274043
http,38.156.235.237,999,Dominican Republic,DO,Santo Domingo Este,transparent,false,13.74,AS272882,"BITNET DOMINICANA, S.R.L",5035.77,1784244578.5100145
http,38.196.221.146,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,20.95,AS273217,Cogent Communications,1582.95,1784244571.1879587
http,38.75.80.32,999,Dominican Republic,DO,Santo Domingo,transparent,true,25.52,AS273217,Cogent Communications,709.85,1784244562.2946837
http,38.224.150.83,999,Dominican Republic,DO,Los Alcarrizos,transparent,true,13.83,AS273864,Aaronka Dominicana SRL,7932.98,1784244553.7324693
http,38.253.86.169,999,Dominican Republic,DO,Maimón,transparent,false,6.01,AS273048,Cogent Communications,9849.15,1784244553.6159158
http,154.88.132.50,8080,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,27.05,AS64126,"DOMINICAN CABLE GROUP DCG, S.R.L.",3003.14,1784244545.255873
http,149.2.83.178,999,Dominican Republic,DO,Santo Domingo,transparent,false,28.35,AS272112,"TELECABLE DOMINICANO, S.A.",6174.78,1784244485.3953846
http,168.243.77.202,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,false,15.14,AS271968,"CENTRIC MOBILITY (CEMO), S.R.L",3397.14,1784244453.1687665
