protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.188.247.12,999,Dominican Republic,DO,Fantino,transparent,true,44.43,AS272083,"REYNOSO, S.R.L.",470.63,1780220353.6840491
http,38.191.161.189,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,8.27,AS273180,Three Networks SRL,2436.28,1780220348.25239
http,38.75.82.217,999,Dominican Republic,DO,Santo Domingo,transparent,false,35.04,AS273217,Cogent Communications,8936.39,1780220341.5918512
http,190.110.36.195,999,Dominican Republic,DO,Salsipuedes,transparent,true,7.53,AS271968,Centric Mobility,1847.1,1780220306.8758814
http,38.75.82.222,999,Dominican Republic,DO,Santo Domingo,transparent,false,34.94,AS273217,Cogent Communications,2592.83,1780220302.599927
http,38.75.82.211,999,Dominican Republic,DO,Santo Domingo,transparent,false,33.87,AS273217,Cogent Communications,3527.99,1780220299.4341848
http,38.253.86.171,999,Dominican Republic,DO,Maimón,transparent,false,7.17,AS273048,Cogent Communications,3667.33,1780220285.7078524
http,38.224.150.84,999,Dominican Republic,DO,Los Alcarrizos,transparent,false,17.81,AS273864,Aaronka Dominicana SRL,5034.1,1780220270.847851
http,200.125.170.218,999,Dominican Republic,DO,Mejía de Navarrete,transparent,false,3.83,AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L",2910.88,1780220264.2838776
http,38.156.233.75,999,Dominican Republic,DO,Santo Domingo,transparent,false,2.24,AS272882,"BITNET DOMINICANA, S.R.L",15815.73,1780220232.7345796
http,190.94.102.251,999,Dominican Republic,DO,Santo Domingo,transparent,true,38.78,AS28118,Altice Dominicana S.A.,2914.11,1780220227.994096
http,187.63.156.237,999,Dominican Republic,DO,Santo Domingo Este,transparent,false,8.39,AS272057,Derivalnet Y Comunicaciones SRL,5717.68,1780220199.518734
http,200.125.169.116,999,Dominican Republic,DO,Mejía de Navarrete,transparent,false,9.59,AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L",9392.35,1780220351.3455956
