protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.156.236.83,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,18.15,AS272882,"BITNET DOMINICANA, S.R.L",3452.71,1784075341.1373897
http,186.6.33.214,999,Dominican Republic,DO,Santo Domingo,transparent,true,32.05,AS6400,Compañía Dominicana de Teléfonos S. A.,8088.38,1784075310.489828
http,181.37.240.89,999,Dominican Republic,DO,Bonao,transparent,true,11.38,AS28118,Altice Dominicana S.A.,1840.02,1784075293.8135593
http,38.156.14.131,999,Dominican Republic,DO,Santo Domingo Este,transparent,true,57.45,AS273224,Cogent Communications,7631.18,1784075230.7916338
http,38.50.165.124,999,Dominican Republic,DO,El Pino,transparent,true,36.12,AS273009,"NEXTELECOM, S.R.L",3324.59,1784075125.6798382
http,168.243.77.81,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,28.99,AS271968,"CENTRIC MOBILITY (CEMO), S.R.L",3467.34,1784075386.0118973
http,200.125.169.51,999,Dominican Republic,DO,Mejía de Navarrete,transparent,true,14.51,AS269931,"WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L",7470.56,1784075377.5948205
http,38.253.95.80,999,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,20.45,AS272027,Cogent Communications,7615.92,1784075355.2598543
http,154.88.132.50,8080,Dominican Republic,DO,Santiago de los Caballeros,transparent,true,26.77,AS64126,"DOMINICAN CABLE GROUP DCG, S.R.L.",1496.99,1784075347.968549
http,38.75.82.213,999,Dominican Republic,DO,Santo Domingo,transparent,true,24.68,AS273217,Cogent Communications,7688.56,1784075227.4108617
