protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,177.234.217.237,999,Ecuador,EC,Quito,transparent,true,32.45,AS52468,Ufinet Panama S.A.,4923.58,1788579538.0047362
http,45.229.17.2,999,Ecuador,EC,Vinces,transparent,false,8.99,AS271967,Turbonet S.A.,9138.27,1788579524.7505143
http,190.12.150.244,999,Ecuador,EC,Quito,transparent,true,70.18,AS271795,Servitelconet Cia. Ltda.,2660.81,1788579520.6619072
http,157.100.33.237,999,Ecuador,EC,Guayaquil,transparent,false,12.33,AS27947,Telconet S.A,11497.95,1788579511.1929152
http,45.70.236.194,999,Ecuador,EC,Guayaquil,transparent,false,42.35,AS52468,Ufinet Panama S.A.,6831.08,1788579508.2727993
http,177.234.217.235,999,Ecuador,EC,Quito,transparent,false,37.55,AS52468,Ufinet Panama S.A.,11461.48,1788579505.733567
http,181.198.66.34,999,Ecuador,EC,Guayaquil,transparent,false,24.31,AS27947,Telconet S.A,11890.03,1788579494.8017533
http,45.71.186.213,999,Ecuador,EC,Yaguachi Nuevo,transparent,false,33.66,AS52468,Ufinet Panama S.A.,4226.94,1788579494.1074674
http,177.234.217.84,999,Ecuador,EC,Quito,transparent,false,28.15,AS52468,Ufinet Panama S.A.,14508.1,1788579467.0182364
http,45.225.105.172,8080,Ecuador,EC,Buena Vista,transparent,false,18.63,AS52468,Ufinet Panama S.A.,11621.24,1788579466.324134
http,177.234.208.111,999,Ecuador,EC,Quito,transparent,false,24.37,AS52468,Ufinet Panama S.A.,4615.21,1788579452.9250479
http,181.224.175.240,999,Ecuador,EC,Naranjal,transparent,false,10.42,AS273141,Micarmita S.A.S,3984.09,1788579422.8370662
http,186.33.45.220,999,Ecuador,EC,Latacunga,transparent,false,57.13,AS52468,Ufinet Panama S.A.,17949.84,1788579392.1808004
