protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,186.33.45.218,999,Ecuador,EC,Latacunga,transparent,true,73.35,AS52468,Ufinet Panama S.A.,5362.2,1787347782.1982622
http,177.234.217.84,999,Ecuador,EC,Quito,transparent,true,27.51,AS52468,Ufinet Panama S.A.,3335.8,1787347779.1335099
http,201.219.22.2,3128,Ecuador,EC,Guayaquil,transparent,true,32.1,AS28006,Corporacion Nacional De Telecomunicaciones - CNT EP,3341.03,1787347778.1536543
http,181.39.25.196,8118,Ecuador,EC,Quito,elite,true,98.22,AS27947,Telconet S.A,665.08,1787347777.650465
http,177.234.217.85,999,Ecuador,EC,Quito,transparent,true,30.26,AS52468,Ufinet Panama S.A.,3486.25,1787347776.3446856
http,181.233.50.233,8787,Ecuador,EC,Loja,transparent,true,17.02,AS272094,Optilink CIA Ltda,1683.07,1787347760.0097377
http,157.100.56.12,8080,Ecuador,EC,Boca Suno,transparent,true,14.89,AS52468,Ufinet Panama S.A.,11502.22,1787347750.2801197
http,177.234.222.106,999,Ecuador,EC,Lincán,transparent,true,18.16,AS52468,Ufinet Panama S.A.,9164.35,1787347748.080292
http,45.70.200.146,999,Ecuador,EC,Yantzaza,transparent,true,25.55,AS52468,Ufinet Panama S.A.,2438.71,1787347729.5433695
http,177.234.217.45,999,Ecuador,EC,Quito,transparent,true,16.89,AS52468,Ufinet Panama S.A.,4353.24,1787347723.8767931
http,181.78.197.235,999,Ecuador,EC,Nueva Loja,transparent,true,23.91,AS52468,Ufinet Panama S.A.,10689.12,1787347679.4669185
http,177.234.236.133,8080,Ecuador,EC,Machala,transparent,true,26.31,AS52468,Ufinet Panama S.A.,2338.15,1787347661.2491875
