protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,185.255.178.27,1080,Estonia,EE,Tallin,elite,true,67.8,AS41745,Baykov Ilya Sergeevich,246.22,1784188155.7170959
socks4,89.169.15.132,2080,Estonia,EE,Tallin,elite,true,81.62,AS41745,Baykov Ilya Sergeevich,138.98,1784188150.7627885
socks4,5.45.125.201,1080,Estonia,EE,Jõhvi,elite,true,67.03,AS198068,PAGM network,2227.36,1784188127.456476
http,5.181.23.213,8443,Estonia,EE,Tallinn,elite,true,24.22,,WorkTitans B.V,180.99,1784188123.7514036
socks4,5.181.23.213,8443,Estonia,EE,Tallinn,elite,true,47.11,,WorkTitans B.V,358.27,1784188114.3148544
socks5,5.45.118.209,1080,Estonia,EE,Jõhvi,elite,true,90.11,AS198068,PAGM network,321.47,1784188107.377937
socks5,5.181.23.213,8443,Estonia,EE,Tallinn,elite,true,40.42,,WorkTitans B.V,605.95,1784188076.357684
http,5.45.127.203,9090,Estonia,EE,Jõhvi,elite,true,18.76,AS198068,PAGM network,3554.14,1784188064.9668226
socks5,5.45.125.201,1080,Estonia,EE,Jõhvi,elite,true,63.66,AS198068,PAGM network,7646.02,1784188048.3154674
http,5.45.126.165,13215,Estonia,EE,Jõhvi,transparent,false,38.67,AS198068,PAGM network,22232.05,1784188013.898575
socks4,185.157.111.3,5678,Estonia,EE,Parksepa,elite,true,61.17,AS202652,SkyLive Telecom ldt,7483.17,1784188110.9532387
