protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,84.36.35.199,1981,Egypt,EG,El Shorouk,transparent,false,16.54,AS36992,Etisalat,4295.43,1785211432.230945
http,197.164.101.10,1981,Egypt,EG,Cairo,transparent,false,33.89,AS24863,Link Egypt (Link.NET),8517.29,1785211424.3714983
http,45.240.232.62,8080,Egypt,EG,Cairo,transparent,false,29.9,AS24863,LINKdotNET AS number,9380.82,1785211380.277637
http,84.36.35.199,1976,Egypt,EG,El Shorouk,transparent,true,8.0,AS36992,Etisalat,9064.32,1785211375.068992
http,84.36.35.206,1974,Egypt,EG,El Shorouk,transparent,true,18.66,AS36992,Etisalat,264.46,1785211354.790628
http,82.129.237.65,1976,Egypt,EG,Alexandria,transparent,false,8.54,AS24835,Global-AWAYED,9125.38,1785211310.857265
http,84.36.35.206,1981,Egypt,EG,El Shorouk,transparent,true,13.82,AS36992,Etisalat,1290.19,1785211309.2761977
http,41.128.72.136,1981,Egypt,EG,Cairo,transparent,false,13.86,AS24863,LINKdotNET AS number,2124.58,1785211273.7854376
http,41.33.245.139,1976,Egypt,EG,Giza,transparent,false,9.2,AS8452,TE Data,9421.41,1785211379.0558934
http,41.65.162.72,1976,Egypt,EG,10th of Ramadan City,transparent,false,2.17,AS36992,Etisalat Misr Mobile BB,17590.21,1785211348.2127461
http,41.33.219.140,1981,Egypt,EG,Cairo,anonymous,false,19.1,AS8452,TE Data,2676.34,1785211267.9063008
