protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,41.33.245.139,1976,Egypt,EG,Giza,transparent,false,9.3,AS8452,TE Data,7573.22,1785381579.0725415
http,217.52.247.86,1981,Egypt,EG,Giza,transparent,false,29.07,AS36992,Etisalat Misr,7820.81,1785381559.8341553
http,41.128.72.138,1981,Egypt,EG,Cairo,transparent,false,13.69,AS24863,LINKdotNET AS number,5595.36,1785381558.8467815
http,197.164.101.10,1981,Egypt,EG,Cairo,transparent,true,34.05,AS24863,Link Egypt (Link.NET),1785.95,1785381539.4016986
http,84.36.35.206,1975,Egypt,EG,El Shorouk,transparent,true,19.64,AS36992,Etisalat,3276.61,1785381538.3929548
http,41.33.89.100,1981,Egypt,EG,Giza,transparent,false,9.51,AS8452,TE Data,15059.67,1785381534.7869449
http,84.36.35.199,1976,Egypt,EG,El Shorouk,transparent,true,8.09,AS36992,Etisalat,4355.68,1785381532.2763152
http,45.240.232.62,8080,Egypt,EG,Cairo,transparent,false,30.05,AS24863,LINKdotNET AS number,3903.18,1785381513.5396614
http,84.36.35.199,1981,Egypt,EG,El Shorouk,transparent,true,16.63,AS36992,Etisalat,12541.93,1785381512.5375092
http,84.36.35.206,1981,Egypt,EG,El Shorouk,transparent,false,13.86,AS36992,Etisalat,7515.52,1785381431.343469
