protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.204.3.21,1981,Egypt,EG,Cairo,transparent,true,33.53,AS24835,Vodafone Data - Egypt,2359.56,1786838358.9443054
http,156.200.116.69,8080,Egypt,EG,Giza,transparent,true,45.92,AS8452,TE Data,273.88,1786838358.6656764
http,196.204.3.21,1976,Egypt,EG,Cairo,transparent,true,24.09,AS24835,Vodafone Data - Egypt,7527.77,1786838333.892019
http,45.240.232.62,8080,Egypt,EG,Cairo,transparent,true,29.18,AS24863,LINKdotNET AS number,1933.52,1786838303.9909482
http,41.128.77.76,1981,Egypt,EG,Cairo,transparent,true,25.41,AS24863,LINKdotNET AS number,972.63,1786838303.7131758
http,196.219.64.253,8080,Egypt,EG,Cairo,transparent,true,43.99,AS8452,TE Data,9635.35,1786838296.2915745
http,197.164.101.10,1976,Egypt,EG,Cairo,transparent,true,18.07,AS24863,Link Egypt (Link.NET),6245.04,1786838280.536236
http,45.245.208.182,8080,Egypt,EG,Cairo,transparent,true,30.72,AS24863,LINKdotNET AS number,2133.48,1786838278.6743746
http,84.36.35.199,1976,Egypt,EG,El Shorouk,transparent,true,8.64,AS36992,Etisalat,10085.72,1786838216.3564205
http,41.128.77.76,1976,Egypt,EG,Cairo,transparent,true,42.43,AS24863,LINKdotNET AS number,3508.69,1786838298.6059916
