protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,66.163.118.99,10006,Spain,ES,Madrid,elite,true,99.39,AS63023,GTHost,174.87,1786747479.9190257
socks4,65.20.105.241,10001,Spain,ES,Madrid,elite,true,39.28,AS20473,"The Constant Company, LLC",3126.94,1786747477.4821942
socks5,45.86.229.39,11000,Spain,ES,Madrid,elite,true,15.16,AS62005,BlueVPS OU,5424.67,1786747476.1667612
socks4,66.163.118.99,10006,Spain,ES,Madrid,elite,true,99.39,AS63023,GTHost,6436.56,1786747465.6400855
http,195.114.209.50,80,Spain,ES,Alcobendas,elite,false,67.67,AS57286,Gigas Hosting SL,5130.65,1786747464.373103
http,212.231.191.23,80,Spain,ES,Barcelona,elite,false,81.87,AS15704,Xtra Telecom S.A,136.89,1786747441.4879358
http,185.202.165.1,53281,Spain,ES,Marbella,elite,false,4.87,AS200845,"AVATEL TELECOM, SA",4601.51,1786747420.0008008
http,85.87.180.159,8080,Spain,ES,Sant Climent de Llobregat,transparent,false,29.23,AS15704,Xtra Telecom S.A.,11513.86,1786747413.5742612
http,66.163.118.99,10006,Spain,ES,Madrid,elite,true,99.0,AS63023,GTHost,110.61,1786747396.9723911
http,81.0.49.104,19775,Spain,ES,Jaca,transparent,false,17.91,AS15704,MasMovil Access Network,12420.59,1786747395.3212023
http,90.161.186.147,3128,Spain,ES,Puerto de Santiago,transparent,false,8.88,AS12479,UNI2-ABI,10172.18,1786747311.656808
