protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,195.189.190.245,9090,Spain,ES,Arrecife,transparent,false,22.27,AS207906,Suballocated IT1,529.02,1786670679.334589
http,66.163.118.99,10006,Spain,ES,Madrid,elite,true,99.12,AS63023,GTHost,119.74,1786670646.9925394
http,37.59.138.176,8080,Spain,ES,Madrid,transparent,true,24.28,AS16276,OVH SAS,94.32,1786670636.453321
http,195.114.209.50,80,Spain,ES,Alcobendas,elite,false,67.63,AS57286,Gigas Hosting SL,131.02,1786670635.7339447
http,85.87.180.159,8080,Spain,ES,Sant Climent de Llobregat,transparent,false,29.37,AS15704,Xtra Telecom S.A.,200.23,1786670631.8229787
http,192.142.52.65,3128,Spain,ES,Madrid,elite,true,9.05,AS214036,"Ultahost, Inc.",384.57,1786670619.6709955
http,91.126.244.112,8080,Spain,ES,Barcelona,transparent,false,31.39,AS35699,Adamo Telecom Iberia S.A Catalonia,1043.72,1786670586.736793
http,207.188.169.99,8080,Spain,ES,Barcelona,transparent,false,49.52,AS15704,Xtra Telecom S.A.,5697.75,1786670642.7848115
http,212.231.191.23,80,Spain,ES,Barcelona,elite,false,81.72,AS15704,Xtra Telecom S.A,137.61,1786670604.5582578
http,2.139.38.192,3128,Spain,ES,Madrid,transparent,true,31.06,AS3352,RIMA (Red IP Multi Acceso),162.64,1786670593.4356687
