protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,193.233.139.106,1080,Finland,FI,Helsinki,elite,true,91.57,AS210644,Aeza International LTD,191.57,1786220354.7430418
socks4,185.117.116.200,1080,Finland,FI,Helsinki,elite,true,25.14,AS204339,First Server Limited,1821.37,1786220354.6317303
socks4,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,91.92,AS209847,WorkTitans B.V.,1950.51,1786220353.1601655
socks5,204.168.225.35,9081,Finland,FI,Helsinki,elite,true,25.38,AS24940,Hetzner Online GmbH,4515.47,1786220352.974773
socks5,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,92.64,AS209847,WorkTitans B.V.,1010.01,1786220352.3088746
socks5,204.168.225.35,9082,Finland,FI,Helsinki,elite,true,82.61,AS24940,Hetzner Online GmbH,857.56,1786220352.2697492
socks4,204.168.225.35,9081,Finland,FI,Helsinki,elite,true,21.92,AS24940,Hetzner Online GmbH,4297.37,1786220352.081853
socks4,204.168.225.35,9082,Finland,FI,Helsinki,elite,true,80.3,AS24940,Hetzner Online GmbH,1839.93,1786220345.5236447
socks5,83.147.216.208,1080,Finland,FI,Helsinki,elite,true,99.33,AS203273,NetCrafters OU,173.13,1786220344.012644
socks4,37.27.245.106,1080,Finland,FI,Helsinki,elite,true,81.7,AS24940,Hetzner Online GmbH,6462.74,1786220343.8490763
http,144.31.75.120,11112,Finland,FI,Helsinki,elite,true,93.66,AS213877,U1 DIGITAL SERVICES LTD,3178.74,1786220342.9645195
socks5,141.98.85.49,1080,Finland,FI,Helsinki,elite,true,96.67,AS41745,Baykov Ilya Sergeevich,240.42,1786220341.0026517
http,64.188.125.131,80,Finland,FI,Helsinki,elite,true,94.15,AS213877,U1 DIGITAL SERVICES LTD,124.25,1786220337.5714073
http,65.108.103.19,80,Finland,FI,Helsinki,elite,false,50.39,AS24940,Hetzner Online GmbH,9585.77,1786220328.2505705
http,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,86.94,AS209847,WorkTitans B.V.,2410.33,1786220326.60763
socks4,46.62.246.93,9050,Finland,FI,Helsinki,elite,true,27.23,AS24940,Hetzner Online GmbH,4497.23,1786220326.4398649
socks5,65.108.246.14,9050,Finland,FI,Helsinki,elite,true,31.24,AS24940,Hetzner Online GmbH,8387.9,1786220312.2960207
http,195.26.230.202,8080,Finland,FI,Helsinki,elite,false,99.99,AS57043,Hostkey B.V.,204.08,1786220289.6318655
http,213.176.92.148,40647,Finland,FI,Helsinki,elite,false,68.6,AS203273,NetCrafters OU,11344.91,1786220223.4567318
