protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,185.230.190.195,3128,Finland,FI,Helsinki,elite,true,68.31,AS212706,Livi Hosting LTD,7004.38,1784101720.5020363
http,46.62.189.77,8888,Finland,FI,Helsinki,elite,true,99.53,AS24940,Hetzner Online GmbH,144.42,1784101702.6319594
http,109.120.184.202,1080,Finland,FI,Helsinki,elite,true,89.3,AS210644,Aeza International LTD,137.21,1784101688.8499696
http,195.226.92.59,8888,Finland,FI,Helsinki,transparent,true,23.14,AS209378,Inios Oy,15317.43,1784101681.9856873
http,132.243.23.194,8888,Finland,FI,Helsinki,elite,true,38.46,AS204339,First Server Limited,17272.75,1784101634.3769646
http,92.118.234.124,1080,Finland,FI,Helsinki,elite,true,80.64,AS209847,WorkTitans B.V.,185.94,1784101801.1793807
http,94.156.180.137,3128,Finland,FI,Helsinki,transparent,true,69.1,AS207957,SERV.HOST GROUP LTD,146.47,1784101795.9359133
http,204.168.225.55,8888,Finland,FI,Helsinki,elite,true,34.5,AS24940,Hetzner Online GmbH,3164.47,1784101788.2169335
http,62.60.237.112,3128,Finland,FI,Helsinki,transparent,true,32.58,AS210644,Aeza International LTD,9856.11,1784101782.26023
http,135.87.39.23,443,Finland,FI,Helsinki,elite,true,99.82,AS8983,Nokia Solutions and Networks Oy,115.3,1784101779.186701
http,135.181.113.216,16379,Finland,FI,Helsinki,elite,true,27.75,AS24940,Hetzner Online GmbH,8968.38,1784101768.4534743
http,135.87.39.23,80,Finland,FI,Helsinki,elite,true,99.7,AS8983,Nokia Solutions and Networks Oy,113.56,1784101756.40102
http,65.109.191.98,3080,Finland,FI,Helsinki,elite,true,99.37,AS24940,Hetzner Online GmbH,154.41,1784101739.9026027
