protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,31.76.31.119,1080,Finland,FI,Helsinki,elite,true,39.74,AS197283,PowerRDP Network LTD,152.49,1787795078.5815737
socks4,65.108.142.59,9154,Finland,FI,Helsinki,elite,true,13.65,AS24940,Hetzner Online GmbH,339.99,1787795078.405942
socks4,65.108.142.59,9501,Finland,FI,Helsinki,elite,true,12.11,AS24940,Hetzner Online GmbH,2547.75,1787795078.2968128
socks4,65.108.142.59,9205,Finland,FI,Helsinki,elite,true,10.94,AS24940,Hetzner Online GmbH,3462.1,1787795076.8397138
socks4,31.76.31.221,1080,Finland,FI,Helsinki,elite,true,43.5,AS197283,PowerRDP Network LTD,144.18,1787795071.7760904
socks4,37.27.245.106,1080,Finland,FI,Helsinki,elite,true,78.9,AS24940,Hetzner Online GmbH,5970.48,1787795071.0123389
socks4,65.108.142.59,9700,Finland,FI,Helsinki,elite,true,16.66,AS24940,Hetzner Online GmbH,2185.64,1787795068.0388691
socks4,65.108.142.59,9734,Finland,FI,Helsinki,elite,true,22.5,AS24940,Hetzner Online GmbH,10902.39,1787795067.1837099
socks4,65.108.142.59,10021,Finland,FI,Helsinki,elite,true,10.92,AS24940,Hetzner Online GmbH,14155.38,1787795066.4627469
socks4,65.108.142.59,10087,Finland,FI,Helsinki,elite,true,42.66,AS24940,Hetzner Online GmbH,10962.01,1787795066.4464025
socks4,65.108.142.59,9168,Finland,FI,Helsinki,elite,true,11.89,AS24940,Hetzner Online GmbH,8150.79,1787795066.1878262
socks4,65.108.142.59,9053,Finland,FI,Helsinki,elite,true,5.65,AS24940,Hetzner Online GmbH,8934.23,1787795065.8409798
socks4,217.177.44.80,1080,Finland,FI,Helsinki,elite,true,25.04,AS50053,Anton Levin,1855.16,1787795062.2031934
socks4,65.108.142.59,9088,Finland,FI,Helsinki,elite,true,17.01,AS24940,Hetzner Online GmbH,17340.57,1787795061.1466868
socks4,65.108.142.59,9132,Finland,FI,Helsinki,elite,true,6.74,AS24940,Hetzner Online GmbH,17924.6,1787795039.1202075
