protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,194.163.174.78,1081,France,FR,Lauterbourg,elite,true,48.99,AS51167,Contabo GmbH,3614.96,1788597558.9481583
socks5,213.199.47.140,1080,France,FR,Lauterbourg,elite,true,96.25,AS51167,Contabo GmbH,1251.89,1788597558.6322172
http,202.133.88.173,80,France,FR,Paris,elite,false,79.65,AS212552,BitCommand LLC,216.7,1788597558.472442
http,212.47.232.28,80,France,FR,Paris,elite,false,76.67,AS12876,Scaleway SAS,2636.71,1788597556.5327375
socks5,144.91.111.48,1088,France,FR,Lauterbourg,elite,true,96.49,AS51167,Contabo GmbH,734.49,1788597554.6213703
socks5,51.178.49.241,1088,France,FR,Strasbourg,elite,true,88.85,AS16276,OVH SAS,387.47,1788597554.3762379
http,194.163.175.167,40000,France,FR,Lauterbourg,elite,true,99.07,AS51167,Contabo GmbH,104.08,1788597553.3156085
socks5,79.137.79.217,2080,France,FR,Roubaix,elite,true,99.99,AS16276,OVH SAS,135.57,1788597553.246912
socks4,109.172.55.227,1082,France,FR,Paris,elite,true,63.07,AS215540,Global Connectivity Solutions LLP,49.29,1788597552.2294118
socks5,194.163.174.78,1088,France,FR,Lauterbourg,elite,true,40.32,AS51167,Contabo GmbH,1169.7,1788597551.958373
socks5,144.91.121.61,1088,France,FR,Lauterbourg,elite,true,97.31,AS51167,Contabo GmbH,537.33,1788597551.5119271
socks4,51.159.149.245,80,France,FR,Paris,elite,true,84.55,AS12876,SCALEWAY,398.61,1788597550.6723585
http,109.199.119.160,80,France,FR,Lauterbourg,elite,false,99.07,AS51167,Contabo GmbH,132.33,1788597547.6477168
socks4,45.95.233.128,1082,France,FR,Paris,elite,true,62.54,AS215540,Global Connectivity Solutions LLP,7285.57,1788597546.7705903
socks5,62.133.62.18,1082,France,FR,Paris,elite,true,44.22,AS215540,Global Connectivity Solutions LLP,71.42,1788597545.7510958
socks4,31.220.81.59,9050,France,FR,Lauterbourg,elite,true,27.66,AS51167,OWS,13908.38,1788597544.2362542
socks5,161.97.104.161,9050,France,FR,Lauterbourg,elite,true,23.77,AS51167,Contabo GmbH,10499.88,1788597543.2894487
http,191.44.125.8,8080,France,FR,Paris,transparent,true,24.72,AS216472,High Speed For Internet Services L.L.C,489.0,1788597540.097735
http,51.75.206.209,80,France,FR,Roubaix,elite,false,34.74,AS16276,OVH SAS,3022.36,1788597539.972811
socks5,158.220.99.85,4545,France,FR,Lauterbourg,elite,true,95.09,AS51167,Contabo GmbH,16376.7,1788597539.947481
socks4,62.133.62.27,1082,France,FR,Paris,elite,true,54.8,AS215540,Global Connectivity Solutions LLP,56.6,1788597539.9465418
socks5,152.228.134.176,48080,France,FR,Strasbourg,elite,true,57.05,AS16276,OVH SAS,2117.52,1788597539.3919177
socks5,161.97.153.238,9050,France,FR,Lauterbourg,elite,true,24.62,AS51167,Contabo GmbH,13497.15,1788597539.1523395
socks4,161.97.153.238,9050,France,FR,Lauterbourg,elite,true,26.78,AS51167,Contabo GmbH,21770.34,1788597534.4649453
socks5,109.123.251.109,1080,France,FR,Lauterbourg,elite,true,74.07,AS51167,Contabo GmbH,394.24,1788597533.9666991
http,95.182.96.43,5432,France,FR,Paris,elite,false,12.64,AS56971,CGI GLOBAL LIMITED,6959.13,1788597533.9243848
socks4,45.95.233.88,1082,France,FR,Paris,elite,true,62.8,AS215540,Global Connectivity Solutions LLP,1052.35,1788597532.9719152
http,161.97.115.10,3128,France,FR,Lauterbourg,transparent,false,23.43,AS51167,Contabo GmbH,10447.79,1788597531.4059412
http,87.106.120.212,3128,France,FR,Paris,transparent,false,31.67,AS8560,IONOS SE,11717.57,1788597531.073548
http,191.44.91.60,8080,France,FR,Paris,transparent,false,35.0,AS216472,High Speed For Internet Services L.L.C,2326.56,1788597530.8027117
socks5,161.97.119.1,8888,France,FR,Lauterbourg,elite,true,35.1,AS51167,Contabo GmbH,5667.41,1788597530.3974214
http,178.238.225.233,3128,France,FR,Lauterbourg,transparent,false,35.45,AS51167,Contabo GmbH,12590.67,1788597529.0096765
socks4,158.220.99.85,4545,France,FR,Lauterbourg,elite,true,94.78,AS51167,Contabo GmbH,16801.67,1788597528.4210446
socks5,51.15.253.45,8080,France,FR,Paris,elite,true,68.29,AS12876,SCALEWAY,10337.1,1788597528.200034
http,37.59.110.73,80,France,FR,Roubaix,elite,true,11.04,AS16276,OVH SAS,4406.66,1788597527.4822917
http,5.189.138.17,3128,France,FR,Lauterbourg,transparent,true,23.25,AS51167,Contabo GmbH,12299.26,1788597523.7728732
http,45.13.116.193,21537,France,FR,Mathay,elite,false,19.77,AS47484,ABJP,14729.67,1788597522.908712
http,62.171.161.88,2018,France,FR,Lauterbourg,transparent,true,18.96,AS51167,Contabo GmbH,4797.87,1788597522.8349547
socks5,45.95.233.128,1082,France,FR,Paris,elite,true,59.64,AS215540,Global Connectivity Solutions LLP,1246.64,1788597521.0894096
http,51.77.148.27,3128,France,FR,Roubaix,transparent,false,31.03,AS16276,OVH SAS,11191.46,1788597518.569047
http,51.254.132.238,90,France,FR,Roubaix,elite,false,19.29,AS16276,OVH SAS,11262.27,1788597518.557872
socks5,194.163.174.78,1085,France,FR,Lauterbourg,elite,true,54.94,AS51167,Contabo GmbH,3212.11,1788597517.4654799
http,149.202.184.186,3128,France,FR,Roubaix,transparent,false,23.93,AS16276,OVH SAS,11437.08,1788597512.9970853
http,163.172.53.142,80,France,FR,Paris,elite,false,90.92,AS12876,Scaleway SAS,2485.56,1788597512.4062183
http,141.94.220.45,3128,France,FR,Gravelines,transparent,false,29.67,AS16276,OVH SAS,13256.63,1788597508.9993026
socks5,92.205.186.129,1080,France,FR,Strasbourg,elite,true,65.31,AS21499,Host Europe GmbH,10540.34,1788597503.243739
http,37.59.125.131,8888,France,FR,Roubaix,elite,true,97.5,AS16276,OVH SAS,6256.76,1788597495.8109636
http,191.44.125.9,8080,France,FR,Paris,transparent,false,27.56,AS216472,High Speed For Internet Services L.L.C,11700.03,1788597487.2407315
http,163.172.167.48,80,France,FR,Paris,elite,false,47.21,AS12876,Scaleway SAS,1811.15,1788597485.358296
http,173.249.50.95,3128,France,FR,Lauterbourg,transparent,true,16.54,AS51167,Contabo GmbH,16816.55,1788597477.2763464
http,31.220.78.244,80,France,FR,Lauterbourg,elite,false,35.09,AS51167,Contabo GmbH,4706.14,1788597470.7302008
http,188.165.76.198,4040,France,FR,Gravelines,elite,true,73.33,AS16276,OVH SAS,12580.69,1788597458.2551038
http,37.60.237.110,30001,France,FR,Lauterbourg,elite,false,18.86,AS51167,Contabo GmbH,5810.76,1788597452.2848325
http,5.250.181.197,3128,France,FR,Paris,transparent,false,34.88,AS8560,IONOS SE,8351.5,1788597439.673486
http,157.173.120.204,3128,France,FR,Lauterbourg,transparent,false,32.2,AS51167,Contabo GmbH,16167.03,1788597438.281213
http,213.199.53.16,8080,France,FR,Lauterbourg,transparent,false,30.26,AS51167,Contabo GmbH,20982.59,1788597429.8527052
http,51.210.105.6,3128,France,FR,Gravelines,transparent,false,25.58,AS16276,OVH SAS,13028.43,1788597369.0688782
