protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,51.159.97.242,10006,France,FR,Paris,elite,true,93.43,AS12876,SCALEWAY,98.73,1786920849.5615594
http,213.136.77.119,8888,France,FR,Lauterbourg,elite,true,99.51,AS51167,Contabo GmbH,3003.19,1786920848.4852738
http,37.187.109.70,10111,France,FR,Roubaix,transparent,true,38.54,AS16276,OVH SAS,12177.84,1786920820.8161979
http,4.233.138.204,8888,France,FR,Paris,anonymous,true,8.33,AS8075,Microsoft Corporation,10866.96,1786920816.4253073
http,173.249.50.95,3128,France,FR,Lauterbourg,transparent,true,15.94,AS51167,Contabo GmbH,21169.97,1786920812.8780165
http,37.59.125.131,8888,France,FR,Roubaix,elite,true,98.23,AS16276,OVH SAS,1774.17,1786920798.0004425
http,13.140.170.132,3128,France,FR,Lauterbourg,transparent,true,27.87,AS51167,Contabo GmbH,17312.74,1786920776.7527308
http,57.128.44.204,3128,France,FR,Gravelines,elite,true,6.53,AS16276,OVH SAS,12811.39,1786920767.4008288
http,217.182.195.221,30007,France,FR,Roubaix,elite,true,49.72,AS16276,OVH SAS,4880.29,1786920748.8374934
http,161.97.115.10,3128,France,FR,Lauterbourg,transparent,true,19.08,AS51167,Contabo GmbH,10749.55,1786920724.8368044
http,195.133.26.25,10808,France,FR,Paris,elite,true,89.41,AS210644,xorek.cloud International LTD,11946.67,1786920710.0016003
