protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,194.163.174.78,1085,France,FR,Lauterbourg,elite,true,61.2,AS51167,Contabo GmbH,1785.4,1787423642.622901
socks5,150.241.91.238,7777,France,FR,Paris,elite,true,90.32,AS210644,xorek.cloud International LTD,1703.79,1787423642.178659
socks5,152.228.237.108,1080,France,FR,Strasbourg,elite,true,75.61,AS16276,OVH SAS,1382.5,1787423638.5264807
socks5,194.163.174.78,1090,France,FR,Lauterbourg,elite,true,51.93,AS51167,Contabo GmbH,1812.91,1787423637.691929
socks5,152.228.134.176,48080,France,FR,Strasbourg,elite,true,59.82,AS16276,OVH SAS,3043.45,1787423637.236811
socks5,144.91.111.48,1088,France,FR,Lauterbourg,elite,true,98.35,AS51167,Contabo GmbH,695.89,1787423635.4830472
socks5,37.187.140.119,3080,France,FR,Roubaix,elite,true,96.2,AS16276,OVH SAS,129.16,1787423635.3703775
socks5,194.163.174.78,1086,France,FR,Lauterbourg,elite,true,54.44,AS51167,Contabo GmbH,287.81,1787423634.2335553
socks5,62.133.62.18,1082,France,FR,Paris,elite,true,44.76,AS215540,Global Connectivity Solutions LLP,84.07,1787423633.8566122
socks5,185.185.80.58,1088,France,FR,Lauterbourg,elite,true,99.31,AS51167,Contabo GmbH,2877.92,1787423627.3060715
socks5,92.205.186.129,1080,France,FR,Strasbourg,elite,true,66.64,AS21499,Host Europe GmbH,10422.48,1787423627.304203
socks5,213.136.92.91,1080,France,FR,Lauterbourg,elite,true,99.75,AS51167,Contabo GmbH,1414.36,1787423627.236371
socks5,109.123.251.109,1080,France,FR,Lauterbourg,elite,true,74.59,AS51167,Contabo GmbH,1784.19,1787423625.108203
socks5,38.242.156.163,9050,France,FR,Lauterbourg,elite,true,20.15,AS51167,Contabo GmbH,11209.28,1787423621.7819479
socks5,144.91.121.61,1088,France,FR,Lauterbourg,elite,true,96.42,AS51167,Contabo GmbH,1437.06,1787423621.6190693
socks5,194.163.174.78,1083,France,FR,Lauterbourg,elite,true,59.18,AS51167,Contabo GmbH,3482.49,1787423615.40618
socks5,194.163.174.78,1082,France,FR,Lauterbourg,elite,true,52.7,AS51167,Contabo GmbH,247.94,1787423614.7039196
socks5,161.97.106.223,9050,France,FR,Lauterbourg,elite,true,20.87,AS51167,Contabo GmbH,19258.87,1787423613.1151867
socks5,173.249.20.169,9060,France,FR,Lauterbourg,elite,true,38.64,AS51167,Contabo GmbH,10901.88,1787423607.2007544
socks5,163.5.214.119,9080,France,FR,Paris,elite,true,30.48,AS49981,WorldStream B.V.,25916.31,1787423602.8870413
socks5,161.97.153.238,9050,France,FR,Lauterbourg,elite,true,25.51,AS51167,Contabo GmbH,15751.17,1787423597.9889011
socks5,158.220.101.43,1080,France,FR,Lauterbourg,elite,true,60.75,AS51167,Contabo GmbH,4464.75,1787423584.675987
