protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,178.62.75.115,1080,United Kingdom,GB,Slough,elite,true,6.89,AS14061,"DigitalOcean, LLC",1232.77,1787525036.998852
socks5,212.58.132.5,1080,United Kingdom,GB,London,elite,true,99.77,AS8757,"NSFOCUS, Inc.",1011.44,1787525032.6434827
socks5,134.209.18.113,1088,United Kingdom,GB,Slough,elite,true,97.52,AS14061,"DigitalOcean, LLC",96.5,1787525031.1290298
socks5,192.252.210.233,4145,United Kingdom,GB,London,elite,true,57.16,AS46562,Performive LLC,906.19,1787525026.043226
socks4,138.124.125.198,1080,United Kingdom,GB,Coventry,elite,true,9.0,AS41745,Baykov Ilya Sergeevich,244.68,1787525022.8325453
socks5,91.90.121.44,9050,United Kingdom,GB,Stretford,elite,true,27.57,AS9009,M247 Europe SRL,6257.87,1787525021.043972
http,91.231.186.236,3128,United Kingdom,GB,London,elite,true,80.57,AS62240,Clouvider Limited,6462.99,1787525014.5646777
http,212.58.132.5,8888,United Kingdom,GB,London,transparent,true,86.14,AS8757,"NSFOCUS, Inc.",1144.4,1787524997.3192735
http,90.221.4.86,8080,United Kingdom,GB,York,elite,true,94.03,AS5607,Sky UK Limited,2570.37,1787524983.6518176
http,91.231.186.236,8080,United Kingdom,GB,London,elite,false,79.44,AS62240,Clouvider Limited,12872.15,1787524965.6232696
http,198.244.254.77,3128,United Kingdom,GB,London,elite,false,11.82,AS16276,OVH SAS,12608.3,1787524859.1352725
