protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.89.111.19,1082,United Kingdom,GB,City of London,elite,true,91.76,AS209847,WorkTitans B.V.,98.18,1780207149.22445
http,94.131.122.125,1081,United Kingdom,GB,Holborn,elite,true,22.49,AS209847,WorkTitans B.V.,1950.12,1780207146.0596411
http,45.89.111.19,1081,United Kingdom,GB,City of London,elite,true,95.41,AS209847,WorkTitans B.V.,1123.47,1780207127.4445906
http,8.211.194.85,80,United Kingdom,GB,London,elite,false,0.7,AS45102,"Alibaba (US) Technology Co., Ltd.",5098.21,1780207116.9955363
http,8.211.194.85,9080,United Kingdom,GB,London,elite,false,0.77,AS45102,"Alibaba (US) Technology Co., Ltd.",9166.4,1780207114.9205256
http,38.60.196.214,80,United Kingdom,GB,London,elite,false,85.16,AS138915,Kaopu Cloud HK Limited,70.27,1780207103.3984158
http,139.162.200.213,80,United Kingdom,GB,London,elite,false,77.38,AS63949,LINODE-UK,66.88,1780207100.7199113
http,46.101.57.56,9033,United Kingdom,GB,Slough,elite,false,30.57,AS14061,"DigitalOcean, LLC",4486.14,1780207077.3601363
http,94.131.122.128,1082,United Kingdom,GB,Holborn,elite,true,26.04,AS209847,WorkTitans B.V.,6813.65,1780207063.6122756
http,45.89.111.179,1082,United Kingdom,GB,City of London,elite,true,96.98,AS209847,WorkTitans B.V.,86.69,1780207057.9208097
http,46.101.57.56,9002,United Kingdom,GB,Slough,elite,true,26.87,AS14061,"DigitalOcean, LLC",2335.02,1780207033.5782418
http,46.101.57.56,9050,United Kingdom,GB,Slough,elite,true,31.11,AS14061,"DigitalOcean, LLC",8216.7,1780207030.8955746
http,8.211.194.78,31433,United Kingdom,GB,London,elite,false,0.8,AS45102,"Alibaba (US) Technology Co., Ltd.",2035.68,1780207026.4955459
http,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,91.51,AS20860,Iomart Cloud Services Limited,226.41,1780207014.4995172
http,46.101.57.56,9057,United Kingdom,GB,Slough,elite,true,28.52,AS14061,"DigitalOcean, LLC",438.21,1780206989.5050714
http,94.131.122.125,1082,United Kingdom,GB,Holborn,elite,true,23.34,AS209847,WorkTitans B.V.,5162.89,1780207140.8870502
http,212.58.132.5,8888,United Kingdom,GB,London,transparent,true,71.24,AS8757,"NSFOCUS, Inc.",888.22,1780207115.7331755
http,51.195.190.172,3128,United Kingdom,GB,Blackburn,elite,false,17.46,AS16276,OVH SAS,8299.66,1780207030.3720114
