protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.89.111.139,1082,United Kingdom,GB,City of London,elite,true,73.45,AS209847,WorkTitans B.V.,83.55,1780208698.8782794
http,45.89.111.19,1082,United Kingdom,GB,City of London,elite,true,92.13,AS209847,WorkTitans B.V.,2007.38,1780208693.8372898
http,45.89.111.139,1081,United Kingdom,GB,City of London,elite,true,73.48,AS209847,WorkTitans B.V.,92.49,1780208654.9547157
http,45.89.111.19,1081,United Kingdom,GB,City of London,elite,true,95.63,AS209847,WorkTitans B.V.,91.39,1780208653.1888945
http,45.89.111.179,1082,United Kingdom,GB,City of London,elite,true,96.36,AS209847,WorkTitans B.V.,160.7,1780208560.2012138
http,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,91.53,AS20860,Iomart Cloud Services Limited,224.35,1780208551.8009837
http,45.89.111.179,1081,United Kingdom,GB,City of London,elite,true,95.22,AS209847,WorkTitans B.V.,87.26,1780208522.3368444
http,94.131.122.129,1081,United Kingdom,GB,Holborn,elite,true,21.25,AS209847,WorkTitans B.V.,119.63,1780208669.4358616
http,94.131.122.125,1081,United Kingdom,GB,Holborn,elite,true,22.49,AS209847,WorkTitans B.V.,663.3,1780208625.479778
http,212.58.132.5,8888,United Kingdom,GB,London,transparent,true,71.25,AS8757,"NSFOCUS, Inc.",744.22,1780208624.4716213
http,94.131.122.125,1082,United Kingdom,GB,Holborn,elite,true,23.34,AS209847,WorkTitans B.V.,10676.72,1780208604.9804375
http,94.131.122.128,1081,United Kingdom,GB,Holborn,elite,true,24.44,AS209847,WorkTitans B.V.,2140.04,1780208563.8233333
