protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,80.79.123.97,9050,United Kingdom,GB,London,elite,true,36.76,AS34702,Aktsiaselts WaveCom,10683.97,1784209111.5120027
socks5,130.49.187.61,1081,United Kingdom,GB,London,elite,true,65.64,AS215540,Global Connectivity Solutions LLP,9490.03,1784209099.5489779
socks5,194.164.125.208,57422,United Kingdom,GB,Worcester,elite,true,34.81,AS8560,IONOS SE,4491.29,1784209057.148811
socks5,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,88.82,AS20860,Iomart Cloud Services Limited,349.42,1784209049.7904193
socks5,192.252.210.233,4145,United Kingdom,GB,London,elite,true,78.71,AS46562,Performive LLC,1005.9,1784209021.4732854
socks5,206.123.156.202,10823,United Kingdom,GB,City of London,elite,true,11.56,AS213790,Limited Network LTD,3026.76,1784209201.3148785
socks5,206.123.156.209,6523,United Kingdom,GB,City of London,elite,true,25.35,AS213790,Limited Network LTD,3368.83,1784209201.0753078
socks5,206.123.156.228,7991,United Kingdom,GB,City of London,elite,true,16.07,AS213790,Limited Network LTD,4233.46,1784209199.6543045
socks5,206.123.156.228,6346,United Kingdom,GB,City of London,elite,true,16.35,AS213790,Limited Network LTD,5820.51,1784209199.3147628
socks5,206.123.156.202,7663,United Kingdom,GB,City of London,elite,true,19.81,AS213790,Limited Network LTD,5357.6,1784209199.2601693
socks5,206.123.156.209,5091,United Kingdom,GB,City of London,elite,true,14.65,AS213790,Limited Network LTD,4019.45,1784209198.8912115
socks5,91.107.122.209,1080,United Kingdom,GB,Bromley,elite,true,24.61,AS29182,JSC IOT,1344.14,1784209198.851126
socks5,206.123.156.209,8901,United Kingdom,GB,City of London,elite,true,20.83,AS213790,Limited Network LTD,3650.41,1784209198.8012319
socks5,206.123.156.209,7286,United Kingdom,GB,City of London,elite,true,41.28,AS213790,Limited Network LTD,4517.85,1784209198.6274235
socks5,206.123.156.228,6470,United Kingdom,GB,City of London,elite,true,16.74,AS213790,Limited Network LTD,2958.42,1784209198.6008964
socks5,206.123.156.221,8658,United Kingdom,GB,City of London,elite,true,14.8,AS213790,Limited Network LTD,3880.38,1784209198.4817624
socks5,206.123.156.202,8964,United Kingdom,GB,City of London,elite,true,23.73,AS213790,Limited Network LTD,4485.64,1784209198.461472
socks5,206.123.156.221,5377,United Kingdom,GB,City of London,elite,true,14.8,AS213790,Limited Network LTD,6311.77,1784209198.415021
socks5,206.123.156.228,7166,United Kingdom,GB,City of London,elite,true,19.12,AS213790,Limited Network LTD,4599.97,1784209198.316094
socks5,206.123.156.228,5372,United Kingdom,GB,City of London,elite,true,30.02,AS213790,Limited Network LTD,5798.98,1784209197.908232
socks5,206.123.156.202,9023,United Kingdom,GB,City of London,elite,true,20.09,AS213790,Limited Network LTD,5762.8,1784209197.650128
socks5,206.123.156.228,7952,United Kingdom,GB,City of London,elite,true,19.68,AS213790,Limited Network LTD,6346.17,1784209197.5826614
socks5,206.123.156.228,4358,United Kingdom,GB,City of London,elite,true,21.86,AS213790,Limited Network LTD,2617.04,1784209197.3861766
socks5,206.123.156.209,4155,United Kingdom,GB,City of London,elite,true,17.1,AS213790,Limited Network LTD,3173.1,1784209196.8802977
socks5,206.123.156.209,9910,United Kingdom,GB,City of London,elite,true,40.89,AS213790,Limited Network LTD,5163.18,1784209196.5304556
socks5,206.123.156.209,8173,United Kingdom,GB,City of London,elite,true,46.92,AS213790,Limited Network LTD,3271.83,1784209196.5066335
socks5,206.123.156.202,6111,United Kingdom,GB,City of London,elite,true,12.62,AS213790,Limited Network LTD,7266.25,1784209196.4655936
socks5,206.123.156.202,4422,United Kingdom,GB,City of London,elite,true,15.32,AS213790,Limited Network LTD,4168.88,1784209196.391771
socks5,206.123.156.228,30099,United Kingdom,GB,City of London,elite,true,14.09,AS213790,Limited Network LTD,5440.83,1784209196.2841625
socks5,206.123.156.209,5229,United Kingdom,GB,City of London,elite,true,18.24,AS213790,Limited Network LTD,5647.94,1784209196.269334
socks5,206.123.156.228,4824,United Kingdom,GB,City of London,elite,true,14.99,AS213790,Limited Network LTD,7102.94,1784209195.8817499
socks5,206.123.156.228,8194,United Kingdom,GB,City of London,elite,true,24.43,AS213790,Limited Network LTD,8728.12,1784209195.880289
