protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,217.11.164.84,9080,Georgia,GE,Tbilisi,elite,true,53.52,AS44620,Netlen Internet Hizmetleri Ltd. Sti.,11449.42,1784950128.0735078
http,85.117.56.85,8080,Georgia,GE,Tbilisi,transparent,true,19.1,AS20771,Caucasus Online Ltd.,3829.49,1784950122.4929705
http,85.117.56.82,8080,Georgia,GE,Tbilisi,transparent,false,15.75,AS20771,Caucasus Online Ltd.,7424.98,1784950118.7918298
socks5,217.11.164.84,9080,Georgia,GE,Tbilisi,elite,true,54.59,AS44620,Netlen Internet Hizmetleri Ltd. Sti.,904.47,1784950097.610466
http,80.241.251.54,8080,Georgia,GE,Tbilisi,transparent,false,16.89,AS16010,Corporate,270.44,1784950083.7900333
http,85.117.63.207,8080,Georgia,GE,Tbilisi,transparent,true,8.51,AS20771,Caucasus Online Ltd.,3087.58,1784950063.9683936
http,2.57.218.131,8080,Georgia,GE,Tbilisi,transparent,false,14.05,AS209012,Multisoft LLC,2180.56,1784950057.5586717
http,85.117.62.70,8080,Georgia,GE,Tbilisi,transparent,false,9.43,AS20771,Caucasus Online Ltd.,2291.18,1784950054.8079264
http,85.117.61.108,8080,Georgia,GE,Tbilisi,transparent,false,12.65,AS20771,Caucasus Online Ltd.,1747.03,1784950010.2867312
http,94.43.164.242,8080,Georgia,GE,Batumi,transparent,false,10.06,AS35805,"JSC ""Silknet""",3847.56,1784950172.0918264
